Keyword,Count
issues household,1
household unsafe,1
relations,1
domestic relations,1
shut winter,1
gas electricity,1
winter,1
electricity shut,1
winter weather,1
months,1
months mentally,1
abusive moved,1
mentally abusive,1
poor housing,1
intoxicated,1
intoxicated abuse,1
lived country,1
country people,1
stalk,1
people stalk,1
unstable people,1
crazy,1
