Topic,Count,Name,Representation,Representative_Docs
-1,46,-1_live_mental_neighbors_abuse,"['live', 'mental', 'neighbors', 'abuse', 'man', 'neighborhood', 'violent', 'crime', 'people', 'house']","['a family friend was having a mental health breakdown and had a gun and came to my house frequently for meals and games.', 'i live in a very dangerous community that is subject to violent crimes and shootings very often. i am also a victim of frequent harassment in the apartment complex i live in, which affects my safety.', ""feeling unsafe and mental health. in maslow's hierarchy of needs feeling safe is ranked second only to food, water, and air â€“ it is an essential""]"
0,25,0_neighborhood_gun_crime_people,"['neighborhood', 'gun', 'crime', 'people', 'high', 'violence', 'houses', 'apartment', 'area', 'feel']","[""i often feel scared in abq about the random violence and the prevalence of guns and gun violence. i feel even more afraid for my kids. i don't feel very safe on campus either because of the violence happening all around it.."", ""my neighborhood has a lot of crime and homeless people.  our house only has basic door locks to keep people from breaking in; we've had our car broken into, strangers come into our yard, and once had to call the police to remove someone who climbed onto our roof and wouldn't leave."", 'drug dealer in the neighborhood often brings high activity of guests that pose a threat to the rest of the area. high property crime, gun violence']"
1,15,1_domestic_partner_domestic violence_hostility,"['domestic', 'partner', 'domestic violence', 'hostility', 'relationship', 'spouse', 'violence', 'husband', 'safety domestic', 'verbal abuse']","['domestic violence incident', 'domestic violence', 'domestic violence']"
2,12,2_junk_junk food_food_das bfds,"['junk', 'junk food', 'food', 'das bfds', 'inflation dad', 'inflation', 'inconvenience junk', 'inconvenience', 'husbandy inflation', 'husbandy']","['pressure', 'hjkh', ""there's too much junk food\n\nthere's too much junk food""]"
3,12,3_unsafe_family_family members_felt unsafe,"['unsafe', 'family', 'family members', 'felt unsafe', 'costs', 'moved', 'rent', 'pay', 'housing costs', 'pay rent']","['i felt unsafe because there was violence involved and i went to the hospital for care. they provided shelter for me.', 'impending divorce from an alcoholic but housing costs make it difficult to leave and support myself and kids on one income', 'before moving in august 2022, i was living in an unsafe situation with abusive family members. however, since then i have lived on my own.']"
4,11,4_strange_living_lived_broken twice,"['strange', 'living', 'lived', 'broken twice', 'strange people', 'twice', 'scary', 'people', 'broken', 'feel']","[""living on the highway and the foot parh where addicts travel to get to their methadone (i guess that's what its called) clinic. feeling very vulnerable."", ""lived where there was frequent crime, even though it was considered a 'luxury' apartment home complex where i lived.  car was broken into twice and garage was broken into twice."", 'multiple attempted break ins, drug dealers, neighbors having strange people around, violent & mentally ill living in the area. i had a stalker at one point']"
5,8,5_poor_materials_surrounding environment_surrounding,"['poor', 'materials', 'surrounding environment', 'surrounding', 'hazardous', 'hazardous materials', 'environment', 'aging', 'mold', 'porque']","['poor surrounding environment', 'the reasons for an unsafe home could include: poor building materials, a lack of security features such as locks and alarms, damaged foundations, aging electrical wiring, insufficient insulation, presence of hazardous materials, and improper use of hazardous materials.', 'porque mi esposo queria que me fuera de la casa y constantemente me lo pedia.']"
6,8,6_backup_wildfires fires_electricity_hermits,"['backup', 'wildfires fires', 'electricity', 'hermits', 'canyon frozen', 'evacuated', 'winter weather', 'half', 'half mile', 'winter']","['our homes were flooded with sewer backup', 'wildfire came within a half mile of my home.', 'gas and electricity shut off during winter weather.']"
