Topic,Count,Name,Representation,Representative_Docs
66,12,66_transportation_were_bus_buses,"['transportation', 'were', 'bus', 'buses', 'was', 'from', 'busing', 'paso', 'stranded', 'texas']","[""I appreciate that this survey exists. I think the public transportation piece is really important. We were excited about the Blue Bus, but haven't heard any updates. Is that still happening? It would be great if we could have a UNM-Taos shuttle that goes into town. It would be great advertising for UNM-Taos and could maybe even increase enrollment. "", ""I do not have such problems. However please consider whether organized commutes to & from El Paso or Hatch couldn't help students who live there but study at NMSU-Las Cruces. I regularly have students miss class because of mechanical issues on the road. There are buses between El Paso & Las Cruces, but it's worth asking whether options couldn't be improved either by working more closely with existing busing options or creating new ones."", 'I Having been a student in the bad old days some of the issues with food was that I did not qualify for any assistance,  My undergraduate was from Texas A&M and they had a great program from former students that supplied loans that did not have interest to pay tuition which could be paid off at the end of semester.  There were enough jobs around that I could work several and pay it off.  Graduated without debt.  Here there are not enough jobs even though the city is much bigger and federal loans is the only way, especially for graduate students, to make ends meet.  The grad students at Texas had health insurance which eased my burden.  Of course, the state had approved such a thing.  \n\nOne of my biggest peeves was from last years ice storm.  Students were stranded on campus and UNM did not do anything.  Calling school closed late and no preparations was very dangerous.  I was busing students to my daughters trailer since she lives on south campus.  CIty buses were stranded and I only found out later that the sun van has 4-wheel drive.  Still there were students that were stuck at the library and had no way home and the library was closing.  I would love to see a plan if students are trapped where they can shelter until the danger passes and they can get off campus.']"
67,12,67_healthy_hungry_provided_harder,"['healthy', 'hungry', 'provided', 'harder', 'treats', 'countries', 'lapo', 'rampant', 'richest', 'cancer']","[""It's getting harder and harder to afford healthy food. The meals at the schools are not very good but my kids are forced to eat it because there is nothing else."", 'I often wonder how students are able to learn anything when they are so hungry.  We have a real problem here in Farmington.  The fast food industry is rampant, but not much of a good choice with respect to the food.  I would like to see healthier choices that would keep our community from diabetes, heart disease, and cancer.', 'I spend between $200 and 300 each semester bringing fruit, healthy snacks and treats to my classes because I know some students are hungry and that can help them stay focused.']"
68,12,68_meal_campus_options_supplements,"['meal', 'campus', 'options', 'supplements', 'offer', 'on', 'cheaper', 'increase', 'affordable', 'healthy']","['Increase wages and offer healthy food options on campus', 'Pay employees a fair wage (including students), offer free shuttle trips to the grocery store, increase access and awareness to on-campus food pantries, offer affordable meal options on campus.', 'Our university supplements Faculty and Staff meals at a cost to full-time employees of $3 a meal a day. If the university would support the students this way, it will help the students as well. I know the university supplements some meal plans to an average of about $7 a meal, but maybe one meal a day at $3 a meal would help. As for housing, maybe have students do janitorial work around the resident halls as supplemental pay so that the full-time custodial staff does not have to face a mess at the end of every semester. ']"
69,12,69_me_affecting_affect_does,"['me', 'affecting', 'affect', 'does', 'affected', 'not', 'it', 'personally', 'am', 'now']","['It is not affecting me. ', 'Does not affect me', 'It does not affect me. ']"
70,12,70_free_meals_seems_appear,"['free', 'meals', 'seems', 'appear', 'scammers', 'bin', 'freebies', 'recipients', 'usual', 'hotdogs']","[""I really don't know. It seems asking for free stuff just makes for people to take advantage that causes those that really need it to go without. Someone has to pay for the freebies. But it seems the usual recipients are the scammers"", 'Free food', 'Free meals ']"
71,12,71_commute_home_move_my,"['commute', 'home', 'move', 'my', 'now', 'consistently', 'apartment', 'somewhere', 'had', 'lost']","[""I lost my last job because they changed my work location, which I couldn't do with my car that couldn't handle the commute and was shared, getting two people to and from work. "", ""Housing is more so focused on my commute to work every day, especially when the weather is a little unpredictable during the winter, preventing me to telework or stay home. I am still called to work and leave during these times. I wish I had a home nearby that I could easily get to, rather than commuting an hour. Food-wise, I don't have enough time to get groceries and often neglect getting food due to stress or exhaustion from my day."", 'Consistently worried about being priced out of my apartment, do not take home enough after ERB and taxes to buy a home that is livable (acutally has wiring, roof not caving in, etc).  My apt building is falling down and owner makes no changes, when does do updates, raises rent.  I have a fridge that consistently stops cooling, so i lose my food.  I have an oven that jumps to 500degree randomly so I ruin/burn food.  These worries makes it hard to plan, prep, and save to find somewhere new.  All open listings of apartments are double or more what I pay now, so I cannot afford to move somewhere better or safer.  Do not want to move neighborhoods even if it is unsafe because if my car breaks I can still walk to work. ']"
72,11,72_their_itâ_challenges_them,"['their', 'itâ', 'challenges', 'them', 'definitely', 'care', 'ago', 'lot', 'themselves', 'donâ']","['Many of my students struggle with these obstacles which makes it difficult for them to get to work and/or take care of themselves and their families.', 'Mainly by watching this widespread crisis impact my students lives.\n\nI definitely give a lot of extensions for folks who are having a hard time. I donâ€™t want them to give up on school and the chance for the life that they aspire to itâ€™s always a little heartbreaking when they have to drop a course or donâ€™t do very well, and I know that itâ€™s due to external factors such as food and housing insecurity for them or their families.\n\nThis is just something that I didnâ€™t see you 10 years ago and definitely nothing like it. 25 years ago.\n\nIâ€™m curious to see how prevalent this is because it feels like itâ€™s impacting just about all of them. ', 'I feel that Universities focus on Students only. However, they are not the only ones struggling. People who work full time can still be struggling and trying to find ways to ""stay above water"" while taking care of their own bills and responsibilities to others.']"
73,11,73_pay_lower_minimum_benefits,"['pay', 'lower', 'minimum', 'benefits', 'when', 'payed', 'more', 'insurance', 'do', 'living']","[""Pay better salaries to professions with college degrees that earn quite a bit more for the same job in other areas of the country. As our cost of living is not less here but likely more since we have the military base close by.\nOtherwise, I do think that our university is involved in programs that help students with these issue and being more rural alot do have the 'neighborly' attitude and help when they can"", ""As someone who works for the university an answer that comes to mind is to pay people more, particularly people who are in lower paying jobs. I'm doing well but not everyone employed here is making a wage that would create security. If I had children or was caring for a family member inflation would have me on edge right now and I would perhaps need to earn more to feel secure. "", 'Be more open to diversity when hiring and paying employees and giving that extension to students who may become employees. I have applied to internal jobs for which I am qualified (or very slightly under qualified). There is a clear bias (gender, personality, ability to manipulate) in who is hired. \nDiversity when paying, I have more qualifications, experience, and oversee more projects than anyone however the degree is what determines the pay (I cannot afford to pursue a new degree even if it benefits the college). I can get work dones (when my mind is clear) 2-4 times faster, yet get payed per hour at the same rate. My tasks are complete and I get payed for 1 hour when someone else gets paid for 3 just cause it took them longer. 25% of my pay goes to taxes and more if I had insurance through them. Take home pay is 12 dollars and 13 dollars for many full time workers. \nI do not want free housing (I like my house I just need to afford it). We do not free food ( I see too much free food get thrown away. We need reasonable pay for living and buying what we need. When we pay for it, we endear it. (I am told the benefits outweigh the pay) the benefits are restricted and mean nothing if I cannot live in peace. \nAs far as students, go if this continues, what hope do they have but to fall into the same net. They might have free food items today but do they know how to cook with what is free? Do they have the appliance, the cooking place, the utilities, the secure home? ']"
74,11,74_all_at_not_,"['all', 'at', 'not', '', '', '', '', '', '', '']","['Not at all.', 'Not at all.', 'Not at all.']"
75,11,75_rent_will_was_lease,"['rent', 'will', 'was', 'lease', 'property', 'worry', 'again', 'move', 'up', 'at']","['More at the level of a constant worry... Will rent go up and force us to move? Will we make enough to pay all the bills and buy food for us and pets?  Will I get enough classes to be able to pay off what we have to put on credit card? That kind of thing.', 'I was living with family for financial reasons, but was forced to move out when it became dangerous. During that time, it was very difficult to focus at work because  I was always worried about what was going to be waiting for me at ""home."" At this point, I\'m in a better living situation, but a worse financial one. The rental property I was able to find is very expensive for how much I\'m making, and I\'m currently the only employed person in the household.', ""Right now I'm at stable spot but I worry about new rental leasing with rent increases/landlords or property management not fulfilling their legal roles. My partner and I want to mortgage a house but it seems impossible. When we eventually face these issues I'm sure it will negatively affect my work.""]"
76,11,76_nope_nah__,"['nope', 'nah', '', '', '', '', '', '', '', '']","['Nope', 'nope', 'Nope.']"
