Topic,Count,Name,Representation,Representative_Docs
37,24,37_it_not__,"['it', 'not', '', '', '', '', '', '', '', '']","[""It's not"", ""it's not"", ""it's not ""]"
38,24,38_meals_meal_options_diabetic,"['meals', 'meal', 'options', 'diabetic', 'choices', 'provide', 'inexpensive', 'cheaper', 'mostly', 'cost']","['provide lower cost meals', 'Provide affordable meal options. ', ""I can only afford to cook at home, mostly we have ground beef or chicken, potatoes, rice, or pasta, and bread. That is not good when I'm diabetic. ""]"
39,24,39_cnm_pantry_assistance_nice,"['cnm', 'pantry', 'assistance', 'nice', 'great', 'food', 'montoya', 'offers', 'promote', 'like']","['CNM seems more like a business than an academic institution. My students often say they only feel like numbers when dealing with CNM non-faculty', 'CNM does food banks, which is really nice.  Anyone with an ID can get food, students and faculty.  Great job CNM.', 'Not many food options on the CNM campus.']"
40,24,40_nn_me_affecting_work,"['nn', 'me', 'affecting', 'work', 'my', 'not', 'for', 'to', '', '']","['n/a to me', 'n/a for me', 'nN/A']"
41,23,41_insecurity_affect_work_affects,"['insecurity', 'affect', 'work', 'affects', 'food', 'suffer', 'rest', 'my', 'influences', 'when']","[""If food or housing is not safe, it can affect an employee's work in many ways. For example, people who live in unsafe housing may struggle to get enough rest or suffer from health conditions due to inadequate living standards. Low-quality food can also lead to malnutrition or illness, which can disrupt one's work performance. Additionally, if a family is financially strained due to high housing costs or the need to purchase safe housing, the employee may struggle to focus at work or use too much of their salary just to meet basic needs."", 'Food and housing insecurity does not affect my work', 'Food or housing insecurity does not affect my work.k ']"
42,23,42_rising_prices_groceries_grocery,"['rising', 'prices', 'groceries', 'grocery', 'costs', 'expensive', 'of', 'food', 'rise', 'are']","['Higher pay to compete with rising prices of groceries or having more available at food pantries', '100$ in groceries each week does not buy you what it use to . We never eat out, do not have any debt, and are a family of 4. Making our pay stretch for 2 weeks is almost impossible and we are close to running out of groceries by the next pay period.', 'Rising costs of food are putting a strain on my budget even though I am not food or housing insecure. Rising costs of medical insurance are the same way. Although I have some extra money to spend on leisure, that percentage is going down significantly in recent months. My HH members and I have discussed getting chickens and growing food plants to help defray the costs of food.']"
43,22,43_say_prefer_comment_suggestions,"['say', 'prefer', 'comment', 'suggestions', 'ideas', 'answer', 'don', 'let', 'opener', 'letting']","[""Don't want to say"", 'Prefer not to say', 'Prefer not to say']"
44,22,44_affecting_affected_unaffected_not,"['affecting', 'affected', 'unaffected', 'not', 'jt', 'mostly', 'did', 'it', 'all', 'its']","['Not affecting', 'Not affecting', 'Not affecting']"
45,22,45_all_at_not_moment,"['all', 'at', 'not', 'moment', 'the', '', '', '', '', '']","['Not at all', 'Not at all', 'not at all']"
46,22,46_all_at_not_,"['all', 'at', 'not', '', '', '', '', '', '', '']","['Not at all', 'not at all', 'Not at all']"
47,21,47_sure_not_im_unsure,"['sure', 'not', 'im', 'unsure', 'to', '', '', '', '', '']","['Not sure. ', 'Not sure.', 'Not Sure.']"
48,21,48_time_this_at_not,"['time', 'this', 'at', 'not', 'times', 'way', 'no', 'in', '', '']","['Not at this time.', 'not at this time.  ', 'not at this time.']"
49,20,49_isn_it_not_its,"['isn', 'it', 'not', 'its', '', '', '', '', '', '']","[""It's not."", ""It's not."", ""It's not. ""]"
50,19,50_subsidies_welfare_housing_government,"['subsidies', 'welfare', 'housing', 'government', 'low', 'medical', 'subsidize', 'lower', 'give', 'provide']","['The solution is to apply for government subsidies.', ""I would like for inflation to go down like it use to be, a few years ago. I would like to be able to have k-9 medical insurance or government programs to cover annual shots or spay/neuter from board-certified Vets only, for all households, not just low income. I think the government should look closer into low-income people because some have nicer things than I do. A lot of people who are low income have their nails done, hair done, the newest iPhone, name-brand clothes, and nice cars. They go out to eat A LOT. I might be able to live that way too if I didn't have to pay for food, housing, and medical expenses. They play the goverment. "", 'provide food and housing subsidies']"
