Question,Institution,Total Responses,Non-empty Responses,Informative Responses,Non_Informative_Count,Sentiment_Positive,Sentiment_Negative,Sentiment_Neutral,Top_Keywords,Top_Topics
,Clovis Community College,65.0,65.0,24.0,,,,,,
,Din̩ College,30.0,30.0,16.0,,,,,,
,Dona Ana Branch Community College,94.0,94.0,45.0,,,,,,
,"Eastern New Mexico University, Portales",60.0,60.0,40.0,,,,,,
,"Eastern New Mexico University, Roswell",75.0,74.0,47.0,,,,,,
,"Eastern New Mexico University, Ruidoso",27.0,27.0,13.0,,,,,,
,"Institute of American Indian Arts, Santa Fe",36.0,36.0,18.0,,,,,,
,Luna Community College,41.0,41.0,24.0,,,,,,
,Mesalands Community College,29.0,29.0,14.0,,,,,,
,"Navajo Technical University, Crownpoint",42.0,42.0,18.0,,,,,,
,New Mexico Highlands University,52.0,51.0,30.0,,,,,,
,New Mexico Institute of Mining and Technology,74.0,74.0,41.0,,,,,,
,New Mexico Junior College,48.0,48.0,38.0,,,,,,
,"New Mexico State University, Alamogordo",44.0,44.0,18.0,,,,,,
,"New Mexico State University, Grants",18.0,18.0,10.0,,,,,,
,"New Mexico State University, Las Cruces",164.0,164.0,91.0,,,,,,
,Northern New Mexico College,57.0,57.0,27.0,,,,,,
,San Juan College,149.0,149.0,97.0,,,,,,
,Santa Fe Community College,110.0,110.0,48.0,,,,,,
,Southeast New Mexico College,36.0,36.0,20.0,,,,,,
,"University of New Mexico, Albuquerque",485.0,485.0,291.0,,,,,,
,"University of New Mexico, Gallup",81.0,81.0,40.0,,,,,,
,"University of New Mexico, Los Alamos",18.0,18.0,13.0,,,,,,
,"University of New Mexico, Taos",37.0,37.0,22.0,,,,,,
,"University of New Mexico, Valencia",33.0,33.0,24.0,,,,,,
,Western New Mexico University,20.0,20.0,14.0,,,,,,
What are your thoughts about food availability on your campus?,Central New Mexico Community College,,,,0.0,0.0,0.0,0.0,"food, campus, options, vending machines, cafeteria",Topic 0: 20 responses; Topic 1: 19 responses; Topic 2: 18 responses; Topic 3: 13 responses; Topic 4: 11 responses; Topic 5: 10 responses; Topic 6: 9 responses; Topic 7: 9 responses; Topic 8: 8 responses; Topic 9: 8 responses; Topic 10: 8 responses; Topic 11: 8 responses; Topic 12: 8 responses; Topic 13: 7 responses; Topic 14: 7 responses; Topic 15: 7 responses; Topic 16: 7 responses; Topic 17: 6 responses; Topic 18: 6 responses; Topic 19: 6 responses; Topic 20: 6 responses
What are your thoughts about food availability on your campus?,"University of New Mexico, Albuquerque",,,,0.0,0.0,0.0,0.0,"food, campus, options, expensive, healthy options",Topic 0: 24 responses; Topic 1: 23 responses; Topic 2: 22 responses; Topic 3: 17 responses; Topic 4: 17 responses; Topic 5: 16 responses; Topic 6: 15 responses; Topic 7: 14 responses; Topic 8: 14 responses; Topic 9: 14 responses; Topic 10: 9 responses; Topic 11: 9 responses; Topic 12: 9 responses; Topic 13: 9 responses; Topic 14: 7 responses; Topic 15: 7 responses; Topic 16: 7 responses; Topic 17: 6 responses
What are your thoughts about food availability on your campus?,"Eastern New Mexico University, Roswell",,,,0.0,0.0,0.0,0.0,"cafeteria, variety, food, limited, food pantry",Topic 0: 15 responses; Topic 1: 9 responses; Topic 2: 7 responses
What are your thoughts about food availability on your campus?,"Eastern New Mexico University, Portales",,,,0.0,0.0,0.0,0.0,"cafeteria, campus, expensive, good, limited",Topic 0: 18 responses; Topic 1: 9 responses; Topic 2: 9 responses
What are your thoughts about food availability on your campus?,"University of New Mexico, Gallup",,,,0.0,0.0,0.0,0.0,"food, cafeteria, campus, options, options campus",Topic 0: 15 responses; Topic 1: 7 responses; Topic 2: 6 responses
What are your thoughts about food availability on your campus?,Dona Ana Branch Community College,,,,0.0,0.0,0.0,0.0,"food, campus, options, pantry, food pantry",Topic 0: 12 responses; Topic 1: 11 responses; Topic 2: 9 responses; Topic 3: 8 responses
What are your thoughts about food availability on your campus?,Northern New Mexico College,,,,0.0,0.0,0.0,0.0,"vending, vending machines, cafeteria, food, desert",Topic 0: 19 responses; Topic 1: 8 responses
What are your thoughts about food availability on your campus?,New Mexico Junior College,,,,0.0,0.0,0.0,0.0,"good, campus, food, cafeteria, variety",Topic 0: 12 responses; Topic 1: 9 responses; Topic 2: 6 responses; Topic 3: 6 responses
What are your thoughts about food availability on your campus?,San Juan College,,,,0.0,0.0,0.0,0.0,"campus, good, food, options, kitchen",Topic 0: 15 responses; Topic 1: 14 responses; Topic 2: 10 responses; Topic 3: 9 responses; Topic 4: 9 responses; Topic 5: 7 responses; Topic 6: 6 responses; Topic 7: 6 responses
What are your thoughts about food availability on your campus?,Mesalands Community College,,,,0.0,0.0,0.0,0.0,"food, variety, food pantry, students, wish",Topic 0: 10 responses; Topic 1: 4 responses
What are your thoughts about food availability on your campus?,Clovis Community College,,,,0.0,0.0,0.0,0.0,"food, vendor, food vendor, vending machines, good",Topic 0: 13 responses; Topic 1: 11 responses
What are your thoughts about food availability on your campus?,"Navajo Technical University, Crownpoint",,,,0.0,0.0,0.0,0.0,"good, campus, food, cafeteria, delicious healthy",Topic 0: 8 responses; Topic 1: 4 responses; Topic 2: 4 responses
What are your thoughts about food availability on your campus?,Luna Community College,,,,0.0,0.0,0.0,0.0,"meals, frozen meals, campus, cafeteria, better",Topic 0: 14 responses; Topic 1: 5 responses; Topic 2: 5 responses
What are your thoughts about food availability on your campus?,"New Mexico State University, Las Cruces",,,,0.0,0.0,0.0,0.0,"expensive, campus, variety, food, options",Topic 0: 14 responses; Topic 1: 11 responses; Topic 2: 10 responses; Topic 3: 8 responses; Topic 4: 7 responses; Topic 5: 7 responses; Topic 6: 7 responses; Topic 7: 6 responses; Topic 8: 6 responses
What are your thoughts about food availability on your campus?,New Mexico Highlands University,,,,0.0,0.0,0.0,0.0,"cafeteria, campus, options, little, improve",Topic 0: 17 responses; Topic 1: 7 responses; Topic 2: 6 responses
What are your thoughts about food availability on your campus?,Southeast New Mexico College,,,,0.0,0.0,0.0,0.0,"students, need, options, food, available",Topic 0: 13 responses; Topic 1: 7 responses
What are your thoughts about food availability on your campus?,"University of New Mexico, Taos",,,,0.0,0.0,0.0,0.0,"foods, limited, unm taos, need, food",Topic 0: 11 responses; Topic 1: 7 responses
What are your thoughts about food availability on your campus?,Santa Fe Community College,,,,0.0,0.0,0.0,0.0,"food, campus, cafeteria, food campus, options",Topic 0: 16 responses; Topic 1: 11 responses; Topic 2: 9 responses; Topic 3: 8 responses
What are your thoughts about food availability on your campus?,"New Mexico State University, Alamogordo",,,,0.0,0.0,0.0,0.0,"cafeteria, campus, need, need cafeteria, opened options",Topic 0: 13 responses; Topic 1: 5 responses
What are your thoughts about food availability on your campus?,"Institute of American Indian Arts, Santa Fe",,,,0.0,0.0,0.0,0.0,"meals, great, balanced meals, quality afford, limited hours",
What are your thoughts about food availability on your campus?,Din̩ College,,,,0.0,0.0,0.0,0.0,"campus, food, cafeteria, don cafeteria, food availability",Topic 0: 10 responses; Topic 1: 6 responses
What are your thoughts about food availability on your campus?,"Eastern New Mexico University, Ruidoso",,,,0.0,0.0,0.0,0.0,"campus, food, positive thoughts, thoughts, positive",Topic 0: 7 responses; Topic 1: 4 responses
What are your thoughts about food availability on your campus?,Western New Mexico University,,,,0.0,0.0,0.0,0.0,"campus, food, cafeteria, salad bar, need selection",Topic 0: 6 responses; Topic 1: 4 responses; Topic 2: 4 responses
What are your thoughts about food availability on your campus?,"University of New Mexico, Valencia",,,,0.0,0.0,0.0,0.0,"limited, campus cafeteria, healthy, options, choices",Topic 0: 8 responses; Topic 1: 5 responses; Topic 2: 5 responses
What are your thoughts about food availability on your campus?,New Mexico Institute of Mining and Technology,,,,0.0,0.0,0.0,0.0,"food, campus, limited, available, good",Topic 0: 14 responses; Topic 1: 9 responses; Topic 2: 6 responses
What are your thoughts about food availability on your campus?,"New Mexico State University, Grants",,,,0.0,0.0,0.0,0.0,"campus, dishes rich, food students, greasy food, food cafe",Topic 0: 7 responses; Topic 1: 3 responses
What are your thoughts about food availability on your campus?,"University of New Mexico, Los Alamos",,,,0.0,0.0,0.0,0.0,"campus, limited, options, small, good",Topic 0: 5 responses; Topic 1: 5 responses; Topic 2: 3 responses
Please share why you feel unsafe?,Response Counts,,,,,,,,,
,Central New Mexico Community College,40.0,40.0,26.0,,,,,,
,Clovis Community College,4.0,4.0,3.0,,,,,,
,Din̩ College,1.0,1.0,1.0,,,,,,
,Dona Ana Branch Community College,11.0,11.0,6.0,,,,,,
,"Eastern New Mexico University, Portales",15.0,15.0,9.0,,,,,,
,"Eastern New Mexico University, Roswell",7.0,7.0,5.0,,,,,,
,"Eastern New Mexico University, Ruidoso",4.0,4.0,3.0,,,,,,
,"Institute of American Indian Arts, Santa Fe",10.0,10.0,5.0,,,,,,
,Luna Community College,3.0,3.0,2.0,,,,,,
,Mesalands Community College,2.0,2.0,2.0,,,,,,
,"Navajo Technical University, Crownpoint",5.0,5.0,3.0,,,,,,
,New Mexico Highlands University,14.0,14.0,9.0,,,,,,
,New Mexico Institute of Mining and Technology,4.0,4.0,2.0,,,,,,
,New Mexico Junior College,4.0,4.0,2.0,,,,,,
,"New Mexico State University, Alamogordo",5.0,5.0,4.0,,,,,,
,"New Mexico State University, Grants",0.0,0.0,0.0,,,,,,
,"New Mexico State University, Las Cruces",13.0,13.0,7.0,,,,,,
,Northern New Mexico College,6.0,6.0,5.0,,,,,,
,San Juan College,15.0,15.0,9.0,,,,,,
,Santa Fe Community College,9.0,9.0,5.0,,,,,,
,Southeast New Mexico College,4.0,4.0,2.0,,,,,,
,"University of New Mexico, Albuquerque",35.0,35.0,21.0,,,,,,
,"University of New Mexico, Gallup",4.0,4.0,2.0,,,,,,
,"University of New Mexico, Los Alamos",1.0,1.0,0.0,,,,,,
,"University of New Mexico, Taos",3.0,3.0,3.0,,,,,,
,"University of New Mexico, Valencia",1.0,1.0,1.0,,,,,,
,Western New Mexico University,2.0,2.0,0.0,,,,,,
Please share why you feel unsafe?,Central New Mexico Community College,,,,0.0,0.0,0.0,0.0,"crime, neighborhood, landlord, hostility, partner",Topic 0: 16 responses; Topic 1: 10 responses
Please share why you feel unsafe?,"University of New Mexico, Albuquerque",,,,0.0,0.0,0.0,0.0,"violence, neighborhood, break, scary, live",Topic 0: 16 responses; Topic 1: 5 responses
Please share why you feel unsafe?,"Eastern New Mexico University, Roswell",,,,0.0,0.0,0.0,0.0,"harassment apartment, housing, felt unsafe, mortgage, mortgage payment",
Please share why you feel unsafe?,"Eastern New Mexico University, Portales",,,,0.0,0.0,0.0,0.0,"mental health, pressure, das, neighborhood, neighbor gun",
Please share why you feel unsafe?,"University of New Mexico, Gallup",,,,0.0,0.0,0.0,0.0,"household unsafe, issues household, family issues, unsafe, household",
Please share why you feel unsafe?,Dona Ana Branch Community College,,,,0.0,0.0,0.0,0.0,"casa constantemente, mi esposo, ex, tiring ex, child relatively",
Please share why you feel unsafe?,Northern New Mexico College,,,,0.0,0.0,0.0,0.0,"fighting significate, vagrant people, methadone, travel methadone, addicts travel",
Please share why you feel unsafe?,New Mexico Junior College,,,,0.0,0.0,0.0,0.0,"fear, fear driven, driven away, away moment, driven",
Please share why you feel unsafe?,San Juan College,,,,0.0,0.0,0.0,0.0,"violence, stepson violent, police patrols, safety, lived albuquerque",
Please share why you feel unsafe?,Mesalands Community College,,,,0.0,0.0,0.0,0.0,"people stalk, stalk, country people, lived country, people",
Please share why you feel unsafe?,Clovis Community College,,,,0.0,0.0,0.0,0.0,"surrounding environment, environment, impact surrounding, surrounding, impact",
Please share why you feel unsafe?,"Navajo Technical University, Crownpoint",,,,0.0,0.0,0.0,0.0,"domestic violence, violence, domestic, felt unsafe, provided shelter",
Please share why you feel unsafe?,Luna Community College,,,,0.0,0.0,0.0,0.0,"door bag, walked door, bag belongings, man walked, bag",
Please share why you feel unsafe?,"New Mexico State University, Las Cruces",,,,0.0,0.0,0.0,0.0,"husbandy, neighborhood shady, neighbors, violent neighbors, upstairs",
Please share why you feel unsafe?,New Mexico Highlands University,,,,0.0,0.0,0.0,0.0,"evacuated wildfires, wildfire came, peak calf, hermits, feel unsafe",
Please share why you feel unsafe?,Southeast New Mexico College,,,,0.0,0.0,0.0,0.0,"south town, south, town, neighborhood",
Please share why you feel unsafe?,"University of New Mexico, Taos",,,,0.0,0.0,0.0,0.0,"frozen pipes, pipes, frozen, substance abuse, domestic violence",
Please share why you feel unsafe?,Santa Fe Community College,,,,0.0,0.0,0.0,0.0,"winter weather, apartment, firearms, proliferation firearms, drugs",
Please share why you feel unsafe?,"New Mexico State University, Alamogordo",,,,0.0,0.0,0.0,0.0,"unstable roommate, roommate, park, trailer park, low income",
Please share why you feel unsafe?,"Institute of American Indian Arts, Santa Fe",,,,0.0,0.0,0.0,0.0,"gun violence, 123, landlord, landlord crazy, failure pay",
Please share why you feel unsafe?,Din̩ College,,,,0.0,0.0,0.0,0.0,"strange warning, warning watch, warning, strange, watch",
Please share why you feel unsafe?,"Eastern New Mexico University, Ruidoso",,,,0.0,0.0,0.0,0.0,"poor housing, housing, poor, hjkh, mandatory evacuation",
Please share why you feel unsafe?,Western New Mexico University,,,,0.0,0.0,0.0,0.0,,
Please share why you feel unsafe?,"University of New Mexico, Valencia",,,,0.0,0.0,0.0,0.0,"rental higher, crime area, rental, higher crime, crime",
Please share why you feel unsafe?,New Mexico Institute of Mining and Technology,,,,0.0,0.0,0.0,0.0,"weather concerns, weather, concerns, invaded",
Please share why you feel unsafe?,"New Mexico State University, Grants",,,,0.0,0.0,0.0,0.0,,
Please share why you feel unsafe?,"University of New Mexico, Los Alamos",,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,Response Counts,,,,,,,,,
,Central New Mexico Community College,0.0,0.0,0.0,,,,,,
,Clovis Community College,0.0,0.0,0.0,,,,,,
,Din̩ College,0.0,0.0,0.0,,,,,,
,Dona Ana Branch Community College,0.0,0.0,0.0,,,,,,
,"Eastern New Mexico University, Portales",0.0,0.0,0.0,,,,,,
,"Eastern New Mexico University, Roswell",0.0,0.0,0.0,,,,,,
,"Eastern New Mexico University, Ruidoso",0.0,0.0,0.0,,,,,,
,"Institute of American Indian Arts, Santa Fe",0.0,0.0,0.0,,,,,,
,Luna Community College,0.0,0.0,0.0,,,,,,
,Mesalands Community College,0.0,0.0,0.0,,,,,,
,"Navajo Technical University, Crownpoint",0.0,0.0,0.0,,,,,,
,New Mexico Highlands University,0.0,0.0,0.0,,,,,,
,New Mexico Institute of Mining and Technology,0.0,0.0,0.0,,,,,,
,New Mexico Junior College,0.0,0.0,0.0,,,,,,
,"New Mexico State University, Alamogordo",0.0,0.0,0.0,,,,,,
,"New Mexico State University, Grants",0.0,0.0,0.0,,,,,,
,"New Mexico State University, Las Cruces",0.0,0.0,0.0,,,,,,
,Northern New Mexico College,0.0,0.0,0.0,,,,,,
,San Juan College,0.0,0.0,0.0,,,,,,
,Santa Fe Community College,0.0,0.0,0.0,,,,,,
,Southeast New Mexico College,0.0,0.0,0.0,,,,,,
,"University of New Mexico, Albuquerque",0.0,0.0,0.0,,,,,,
,"University of New Mexico, Gallup",0.0,0.0,0.0,,,,,,
,"University of New Mexico, Los Alamos",0.0,0.0,0.0,,,,,,
,"University of New Mexico, Taos",0.0,0.0,0.0,,,,,,
,"University of New Mexico, Valencia",0.0,0.0,0.0,,,,,,
,Western New Mexico University,0.0,0.0,0.0,,,,,,
Please explain why it is difficult to find housing either on-campus or off-campus?,Central New Mexico Community College,,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,"University of New Mexico, Albuquerque",,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,"Eastern New Mexico University, Roswell",,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,"Eastern New Mexico University, Portales",,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,"University of New Mexico, Gallup",,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,Dona Ana Branch Community College,,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,Northern New Mexico College,,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,New Mexico Junior College,,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,San Juan College,,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,Mesalands Community College,,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,Clovis Community College,,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,"Navajo Technical University, Crownpoint",,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,Luna Community College,,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,"New Mexico State University, Las Cruces",,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,New Mexico Highlands University,,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,Southeast New Mexico College,,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,"University of New Mexico, Taos",,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,Santa Fe Community College,,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,"New Mexico State University, Alamogordo",,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,"Institute of American Indian Arts, Santa Fe",,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,Din̩ College,,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,"Eastern New Mexico University, Ruidoso",,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,Western New Mexico University,,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,"University of New Mexico, Valencia",,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,New Mexico Institute of Mining and Technology,,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,"New Mexico State University, Grants",,,,0.0,0.0,0.0,0.0,,
Please explain why it is difficult to find housing either on-campus or off-campus?,"University of New Mexico, Los Alamos",,,,0.0,0.0,0.0,0.0,,
