Question,Institution,Total Responses,Non-empty Responses,Informative Responses,Non_Informative_Count,Sentiment_Positive,Sentiment_Negative,Sentiment_Neutral,Top_Keywords,Top_Topics
How is food or housing insecurity affecting your work?,"University of New Mexico, Valencia",,,,0.0,0.0,0.0,0.0,"feel anxious, time, bringing, lunch, lunch challange",
How is food or housing insecurity affecting your work?,New Mexico Institute of Mining and Technology,,,,0.0,0.0,0.0,0.0,"distract, second job, mortgage distracting, missed payments, mortgage",Topic 0: 7 responses; Topic 1: 6 responses
How is food or housing insecurity affecting your work?,"New Mexico State University, Grants",,,,0.0,0.0,0.0,0.0,"focused, pay bills, focused going, bills, going pay",
How is food or housing insecurity affecting your work?,"University of New Mexico, Los Alamos",,,,0.0,0.0,0.0,0.0,"increases anxiety, anxiety interferes, affected, jobs, feel",
What could your college or university do to address food and housing insecurity? Please share a solution(s).,Response Counts,,,,,,,,,
,Central New Mexico Community College,314.0,314.0,222.0,,,,,,
,Clovis Community College,46.0,46.0,31.0,,,,,,
,Din̩ College,23.0,23.0,14.0,,,,,,
,Dona Ana Branch Community College,63.0,63.0,45.0,,,,,,
,"Eastern New Mexico University, Portales",47.0,47.0,35.0,,,,,,
,"Eastern New Mexico University, Roswell",52.0,52.0,33.0,,,,,,
,"Eastern New Mexico University, Ruidoso",23.0,23.0,14.0,,,,,,
,"Institute of American Indian Arts, Santa Fe",26.0,26.0,18.0,,,,,,
,Luna Community College,33.0,33.0,24.0,,,,,,
,Mesalands Community College,22.0,22.0,17.0,,,,,,
,"Navajo Technical University, Crownpoint",37.0,37.0,23.0,,,,,,
,New Mexico Highlands University,42.0,42.0,28.0,,,,,,
,New Mexico Institute of Mining and Technology,41.0,41.0,25.0,,,,,,
,New Mexico Junior College,36.0,36.0,24.0,,,,,,
,"New Mexico State University, Alamogordo",29.0,29.0,19.0,,,,,,
,"New Mexico State University, Grants",13.0,13.0,10.0,,,,,,
,"New Mexico State University, Las Cruces",130.0,130.0,86.0,,,,,,
,Northern New Mexico College,42.0,42.0,25.0,,,,,,
,San Juan College,95.0,95.0,59.0,,,,,,
,Santa Fe Community College,82.0,81.0,64.0,,,,,,
,Southeast New Mexico College,20.0,20.0,11.0,,,,,,
,"University of New Mexico, Albuquerque",338.0,338.0,193.0,,,,,,
,"University of New Mexico, Gallup",66.0,66.0,49.0,,,,,,
,"University of New Mexico, Los Alamos",13.0,13.0,5.0,,,,,,
,"University of New Mexico, Taos",34.0,34.0,22.0,,,,,,
,"University of New Mexico, Valencia",17.0,17.0,14.0,,,,,,
,Western New Mexico University,19.0,19.0,11.0,,,,,,
What could your college or university do to address food and housing insecurity? Please share a solution(s).,Central New Mexico Community College,,,,0.0,0.0,0.0,0.0,"food pantry, food, campus, pantry, housing",Topic 0: 27 responses; Topic 1: 16 responses; Topic 2: 16 responses; Topic 3: 15 responses; Topic 4: 15 responses; Topic 5: 14 responses; Topic 6: 13 responses; Topic 7: 12 responses; Topic 8: 12 responses; Topic 9: 11 responses; Topic 10: 11 responses; Topic 11: 7 responses; Topic 12: 6 responses; Topic 13: 6 responses; Topic 14: 6 responses; Topic 15: 6 responses
What could your college or university do to address food and housing insecurity? Please share a solution(s).,"University of New Mexico, Albuquerque",,,,0.0,0.0,0.0,0.0,"campus, housing, food pantry, food, increase",Topic 0: 23 responses; Topic 1: 16 responses; Topic 2: 13 responses; Topic 3: 12 responses; Topic 4: 12 responses; Topic 5: 11 responses; Topic 6: 11 responses; Topic 7: 11 responses; Topic 8: 11 responses; Topic 9: 10 responses; Topic 10: 9 responses; Topic 11: 7 responses; Topic 12: 7 responses; Topic 13: 7 responses; Topic 14: 6 responses; Topic 15: 6 responses
What could your college or university do to address food and housing insecurity? Please share a solution(s).,"Eastern New Mexico University, Roswell",,,,0.0,0.0,0.0,0.0,"food pantry, food, students, provide, students need",Topic 0: 9 responses; Topic 1: 7 responses; Topic 2: 7 responses
What could your college or university do to address food and housing insecurity? Please share a solution(s).,"Eastern New Mexico University, Portales",,,,0.0,0.0,0.0,0.0,"food pantry, campus, students, food, pantry",Topic 0: 11 responses; Topic 1: 7 responses; Topic 2: 6 responses; Topic 3: 6 responses
What could your college or university do to address food and housing insecurity? Please share a solution(s).,"University of New Mexico, Gallup",,,,0.0,0.0,0.0,0.0,"campus, food pantry, pantry, food, campus food",Topic 0: 14 responses; Topic 1: 11 responses; Topic 2: 9 responses; Topic 3: 7 responses
What could your college or university do to address food and housing insecurity? Please share a solution(s).,Dona Ana Branch Community College,,,,0.0,0.0,0.0,0.0,"food, food pantry, pantry, food options, food pantries",Topic 0: 11 responses; Topic 1: 10 responses; Topic 2: 10 responses; Topic 3: 6 responses
What could your college or university do to address food and housing insecurity? Please share a solution(s).,Northern New Mexico College,,,,0.0,0.0,0.0,0.0,"housing, cafeteria, campus, cafeteria campus, dorms",
What could your college or university do to address food and housing insecurity? Please share a solution(s).,New Mexico Junior College,,,,0.0,0.0,0.0,0.0,"food, purchase food, cafeteria, campus, increase",Topic 0: 19 responses; Topic 1: 5 responses
What could your college or university do to address food and housing insecurity? Please share a solution(s).,San Juan College,,,,0.0,0.0,0.0,0.0,"food, campus, pay, housing, raise",Topic 0: 18 responses; Topic 1: 11 responses; Topic 2: 9 responses; Topic 3: 6 responses
What could your college or university do to address food and housing insecurity? Please share a solution(s).,Mesalands Community College,,,,0.0,0.0,0.0,0.0,"funding, dorms, food options, food, cafe",Topic 0: 13 responses; Topic 1: 4 responses
What could your college or university do to address food and housing insecurity? Please share a solution(s).,Clovis Community College,,,,0.0,0.0,0.0,0.0,"food, pantry, food pantry, campus, pay living",Topic 0: 20 responses; Topic 1: 6 responses
What could your college or university do to address food and housing insecurity? Please share a solution(s).,"Navajo Technical University, Crownpoint",,,,0.0,0.0,0.0,0.0,"food, food pantry, pantry, provide food, housing",Topic 0: 9 responses; Topic 1: 9 responses; Topic 2: 5 responses
What could your college or university do to address food and housing insecurity? Please share a solution(s).,Luna Community College,,,,0.0,0.0,0.0,0.0,"cafeteria, students, provide, food, meals",Topic 0: 12 responses; Topic 1: 7 responses; Topic 2: 5 responses
What could your college or university do to address food and housing insecurity? Please share a solution(s).,"New Mexico State University, Las Cruces",,,,0.0,0.0,0.0,0.0,"food, campus, housing, increase, food pantry",Topic 0: 23 responses; Topic 1: 13 responses; Topic 2: 12 responses; Topic 3: 9 responses; Topic 4: 6 responses; Topic 5: 6 responses
What could your college or university do to address food and housing insecurity? Please share a solution(s).,New Mexico Highlands University,,,,0.0,0.0,0.0,0.0,"food, food pantry, pantry, students, projects",Topic 0: 11 responses; Topic 1: 6 responses; Topic 2: 6 responses
What could your college or university do to address food and housing insecurity? Please share a solution(s).,Southeast New Mexico College,,,,0.0,0.0,0.0,0.0,"food, pantry, campus, service cafeteria, increase awareness",Topic 0: 5 responses; Topic 1: 4 responses
What could your college or university do to address food and housing insecurity? Please share a solution(s).,"University of New Mexico, Taos",,,,0.0,0.0,0.0,0.0,"housing, food, pantry, food pantry, campus",Topic 0: 9 responses; Topic 1: 8 responses; Topic 2: 5 responses
What could your college or university do to address food and housing insecurity? Please share a solution(s).,Santa Fe Community College,,,,0.0,0.0,0.0,0.0,"increase, food, campus, cafeteria, provide",Topic 0: 12 responses; Topic 1: 12 responses; Topic 2: 11 responses; Topic 3: 10 responses; Topic 4: 7 responses; Topic 5: 6 responses; Topic 6: 6 responses
What could your college or university do to address food and housing insecurity? Please share a solution(s).,"New Mexico State University, Alamogordo",,,,0.0,0.0,0.0,0.0,"food, food available, campus, students, food pantry",Topic 0: 12 responses; Topic 1: 7 responses
What could your college or university do to address food and housing insecurity? Please share a solution(s).,"Institute of American Indian Arts, Santa Fe",,,,0.0,0.0,0.0,0.0,"pay, campus, student housing, housing, campus living",Topic 0: 13 responses; Topic 1: 5 responses
What could your college or university do to address food and housing insecurity? Please share a solution(s).,Din̩ College,,,,0.0,0.0,0.0,0.0,"housing, provide, public, campus, build college",Topic 0: 5 responses; Topic 1: 5 responses; Topic 2: 4 responses
What could your college or university do to address food and housing insecurity? Please share a solution(s).,"Eastern New Mexico University, Ruidoso",,,,0.0,0.0,0.0,0.0,"food, issues rural, resources access, food available, purchase campus",Topic 0: 7 responses; Topic 1: 7 responses
What could your college or university do to address food and housing insecurity? Please share a solution(s).,Western New Mexico University,,,,0.0,0.0,0.0,0.0,"pay, market vouchers, food fresh, higher pay, higher",Topic 0: 5 responses; Topic 1: 3 responses; Topic 2: 3 responses
What could your college or university do to address food and housing insecurity? Please share a solution(s).,"University of New Mexico, Valencia",,,,0.0,0.0,0.0,0.0,"food, cafeteria, food subsidies, pantry, does lot",Topic 0: 6 responses; Topic 1: 3 responses; Topic 2: 3 responses
What could your college or university do to address food and housing insecurity? Please share a solution(s).,New Mexico Institute of Mining and Technology,,,,0.0,0.0,0.0,0.0,"campus, pay, food, education, wage",Topic 0: 7 responses; Topic 1: 6 responses; Topic 2: 6 responses
What could your college or university do to address food and housing insecurity? Please share a solution(s).,"New Mexico State University, Grants",,,,0.0,0.0,0.0,0.0,"pantry, food pantry, food, open easily, students faculty",Topic 0: 6 responses; Topic 1: 2 responses
What could your college or university do to address food and housing insecurity? Please share a solution(s).,"University of New Mexico, Los Alamos",,,,0.0,0.0,0.0,0.0,"monthly farmers, helping, expanding, expanding hours, cafe",
Is there anything else you would like to share?,Response Counts,,,,,,,,,
,Central New Mexico Community College,181.0,181.0,51.0,,,,,,
,Clovis Community College,27.0,27.0,9.0,,,,,,
,Din̩ College,18.0,18.0,2.0,,,,,,
,Dona Ana Branch Community College,35.0,35.0,14.0,,,,,,
,"Eastern New Mexico University, Portales",29.0,29.0,12.0,,,,,,
,"Eastern New Mexico University, Roswell",28.0,28.0,3.0,,,,,,
,"Eastern New Mexico University, Ruidoso",12.0,12.0,6.0,,,,,,
,"Institute of American Indian Arts, Santa Fe",19.0,19.0,5.0,,,,,,
,Luna Community College,18.0,18.0,4.0,,,,,,
,Mesalands Community College,17.0,17.0,7.0,,,,,,
,"Navajo Technical University, Crownpoint",23.0,23.0,7.0,,,,,,
,New Mexico Highlands University,26.0,26.0,5.0,,,,,,
,New Mexico Institute of Mining and Technology,21.0,21.0,6.0,,,,,,
,New Mexico Junior College,29.0,29.0,7.0,,,,,,
,"New Mexico State University, Alamogordo",17.0,17.0,6.0,,,,,,
,"New Mexico State University, Grants",8.0,8.0,3.0,,,,,,
,"New Mexico State University, Las Cruces",60.0,60.0,18.0,,,,,,
,Northern New Mexico College,20.0,20.0,3.0,,,,,,
,San Juan College,52.0,52.0,12.0,,,,,,
,Santa Fe Community College,42.0,42.0,11.0,,,,,,
,Southeast New Mexico College,14.0,14.0,5.0,,,,,,
,"University of New Mexico, Albuquerque",175.0,174.0,58.0,,,,,,
,"University of New Mexico, Gallup",28.0,28.0,8.0,,,,,,
,"University of New Mexico, Los Alamos",6.0,6.0,2.0,,,,,,
,"University of New Mexico, Taos",11.0,11.0,6.0,,,,,,
,"University of New Mexico, Valencia",11.0,11.0,2.0,,,,,,
,Western New Mexico University,3.0,3.0,1.0,,,,,,
Is there anything else you would like to share?,Central New Mexico Community College,,,,0.0,0.0,0.0,0.0,"thank, inflation, housing, cnm, food pantry",Topic 0: 11 responses; Topic 1: 11 responses; Topic 2: 9 responses; Topic 3: 7 responses; Topic 4: 6 responses
Is there anything else you would like to share?,"University of New Mexico, Albuquerque",,,,0.0,0.0,0.0,0.0,"survey, thank, campus, inflation, faculty",Topic 0: 13 responses; Topic 1: 12 responses; Topic 2: 9 responses; Topic 3: 7 responses; Topic 4: 6 responses; Topic 5: 6 responses
Is there anything else you would like to share?,"Eastern New Mexico University, Roswell",,,,0.0,0.0,0.0,0.0,"glad survey, survey, survey look, results, look forward",
Is there anything else you would like to share?,"Eastern New Mexico University, Portales",,,,0.0,0.0,0.0,0.0,"say, don, survey, good survey, meal plan",Topic 0: 7 responses; Topic 1: 3 responses
Is there anything else you would like to share?,"University of New Mexico, Gallup",,,,0.0,0.0,0.0,0.0,"adjunct, campus, food options, adjunct instructor, nice survey",
Is there anything else you would like to share?,Dona Ana Branch Community College,,,,0.0,0.0,0.0,0.0,"campus staff, student support, mental health, rigorous student, student",Topic 0: 5 responses; Topic 1: 4 responses; Topic 2: 3 responses
Is there anything else you would like to share?,Northern New Mexico College,,,,0.0,0.0,0.0,0.0,"safety, safety big, big issue, issue, big",
Is there anything else you would like to share?,New Mexico Junior College,,,,0.0,0.0,0.0,0.0,"help, survey necessary, education, government, hope government",
Is there anything else you would like to share?,San Juan College,,,,0.0,0.0,0.0,0.0,"campus, housing, food insecurities, county needed, campus truly",Topic 0: 4 responses; Topic 1: 3 responses; Topic 2: 3 responses
Is there anything else you would like to share?,Mesalands Community College,,,,0.0,0.0,0.0,0.0,"mexico government, new mexico, nearest community, rural, food desert",
Is there anything else you would like to share?,Clovis Community College,,,,0.0,0.0,0.0,0.0,"transportation students, health coverage, adjunct, like health, promote things",
Is there anything else you would like to share?,"Navajo Technical University, Crownpoint",,,,0.0,0.0,0.0,0.0,"need, need support, reservation like, provide possible, need arises",
Is there anything else you would like to share?,Luna Community College,,,,0.0,0.0,0.0,0.0,"support animals, animals dependents, money family, earn, earn money",
Is there anything else you would like to share?,"New Mexico State University, Las Cruces",,,,0.0,0.0,0.0,0.0,"survey, increase, thank, campus, poverty",Topic 0: 9 responses; Topic 1: 6 responses
Is there anything else you would like to share?,New Mexico Highlands University,,,,0.0,0.0,0.0,0.0,"attending nmhu, access healthcare, lot income, income, inequality",
Is there anything else you would like to share?,Southeast New Mexico College,,,,0.0,0.0,0.0,0.0,"survey, pantry campus, hard survey, hope, funds",
Is there anything else you would like to share?,"University of New Mexico, Taos",,,,0.0,0.0,0.0,0.0,"teach regents, university leaders, community campus, housing, housing community",
Is there anything else you would like to share?,Santa Fe Community College,,,,0.0,0.0,0.0,0.0,"increase, thank, increase pay, food sfcc, inflation",
