# ,,,,
#     Column Definitions:,,,,
#     - Total Potential Responses: All survey participants including those who left the question blank.,,,,
"#     - Non-empty Responses: The number of survey participants from that institution who provided any kind of answer to the question, including both informative and non-informative responses.",,,,
"#     - Informative Responses: Responses that are not classified as non-informative (e.g.  not ""N/A""  ""No comment"" etc.).",,,,
#     ,,,,
Question,Institution,Total Potential Responses,Non-empty Responses,Informative Responses
How is food or housing insecurity affecting your work?,Central New Mexico Community College,715,270,103
How is food or housing insecurity affecting your work?,Clovis Community College,103,40,12
How is food or housing insecurity affecting your work?,Din̩ College,49,22,8
How is food or housing insecurity affecting your work?,Dona Ana Branch Community College,129,58,26
How is food or housing insecurity affecting your work?,"Eastern New Mexico University, Portales",106,45,23
How is food or housing insecurity affecting your work?,"Eastern New Mexico University, Roswell",126,39,11
How is food or housing insecurity affecting your work?,"Eastern New Mexico University, Ruidoso",42,19,6
How is food or housing insecurity affecting your work?,"Institute of American Indian Arts, Santa Fe",55,26,13
How is food or housing insecurity affecting your work?,Luna Community College,61,26,12
How is food or housing insecurity affecting your work?,Mesalands Community College,45,20,7
How is food or housing insecurity affecting your work?,"Navajo Technical University, Crownpoint",53,32,12
How is food or housing insecurity affecting your work?,New Mexico Highlands University,85,36,16
How is food or housing insecurity affecting your work?,New Mexico Institute of Mining and Technology,119,35,13
How is food or housing insecurity affecting your work?,New Mexico Junior College,86,32,11
How is food or housing insecurity affecting your work?,"New Mexico State University, Alamogordo",63,26,12
How is food or housing insecurity affecting your work?,"New Mexico State University, Grants",29,15,3
How is food or housing insecurity affecting your work?,"New Mexico State University, Las Cruces",257,103,44
How is food or housing insecurity affecting your work?,Northern New Mexico College,74,24,7
How is food or housing insecurity affecting your work?,San Juan College,242,84,35
How is food or housing insecurity affecting your work?,Santa Fe Community College,138,62,22
How is food or housing insecurity affecting your work?,Southeast New Mexico College,54,17,8
How is food or housing insecurity affecting your work?,"University of New Mexico, Albuquerque",762,286,97
How is food or housing insecurity affecting your work?,"University of New Mexico, Gallup",104,45,20
How is food or housing insecurity affecting your work?,"University of New Mexico, Los Alamos",28,9,6
How is food or housing insecurity affecting your work?,"University of New Mexico, Taos",65,24,10
How is food or housing insecurity affecting your work?,"University of New Mexico, Valencia",47,19,7
How is food or housing insecurity affecting your work?,Western New Mexico University,30,12,3
,,,,
What could your college or university do to address food and housing insecurity? Please share a solution(s).,Central New Mexico Community College,715,314,222
What could your college or university do to address food and housing insecurity? Please share a solution(s).,Clovis Community College,103,46,31
What could your college or university do to address food and housing insecurity? Please share a solution(s).,Din̩ College,49,23,14
What could your college or university do to address food and housing insecurity? Please share a solution(s).,Dona Ana Branch Community College,129,63,45
What could your college or university do to address food and housing insecurity? Please share a solution(s).,"Eastern New Mexico University, Portales",106,47,35
What could your college or university do to address food and housing insecurity? Please share a solution(s).,"Eastern New Mexico University, Roswell",126,52,33
What could your college or university do to address food and housing insecurity? Please share a solution(s).,"Eastern New Mexico University, Ruidoso",42,23,14
What could your college or university do to address food and housing insecurity? Please share a solution(s).,"Institute of American Indian Arts, Santa Fe",55,26,18
What could your college or university do to address food and housing insecurity? Please share a solution(s).,Luna Community College,61,33,24
What could your college or university do to address food and housing insecurity? Please share a solution(s).,Mesalands Community College,45,22,17
What could your college or university do to address food and housing insecurity? Please share a solution(s).,"Navajo Technical University, Crownpoint",53,37,23
What could your college or university do to address food and housing insecurity? Please share a solution(s).,New Mexico Highlands University,85,42,28
What could your college or university do to address food and housing insecurity? Please share a solution(s).,New Mexico Institute of Mining and Technology,119,41,25
What could your college or university do to address food and housing insecurity? Please share a solution(s).,New Mexico Junior College,86,36,24
What could your college or university do to address food and housing insecurity? Please share a solution(s).,"New Mexico State University, Alamogordo",63,29,19
What could your college or university do to address food and housing insecurity? Please share a solution(s).,"New Mexico State University, Grants",29,13,10
What could your college or university do to address food and housing insecurity? Please share a solution(s).,"New Mexico State University, Las Cruces",257,130,86
What could your college or university do to address food and housing insecurity? Please share a solution(s).,Northern New Mexico College,74,42,25
What could your college or university do to address food and housing insecurity? Please share a solution(s).,San Juan College,242,95,59
