Keyword,Count
survey,28
thank,21
campus,14
housing,12
inflation,8
students,8
food,8
help,6
faculty,6
need,6
food pantry,5
thank survey,5
doing,5
staff,5
salaries,5
hope,5
employees,5
good,5
say,4
health insurance,4
adjunct,4
thanks,4
survey hope,4
thank doing,4
research,4
doing survey,4
food insecurity,4
increase,4
education,4
pantry,4
conducting survey,3
don,3
cnm,3
school,3
homeless,3
unm,3
students need,3
food options,3
money,3
look forward,3
better,3
pay,3
insurance,3
cost living,3
thank work,3
mental health,3
students struggle,3
child care,3
income,3
support,3
nm,3
student,3
rent,2
students food,2
welfare,2
community,2
regents,2
life,2
problem,2
safety,2
good survey,2
options campus,2
healthy food,2
affordable housing,2
santa fe,2
want,2
life hard,2
housing food,2
increase pay,2
basic needs,2
security,2
food housing,2
asking,2
provide,2
like,2
food home,2
staff help,2
food desert,2
mexico,2
healthcare,2
transportation,2
helps students,2
cost housing,2
things,2
need help,2
results,2
food insecurities,2
think unm,2
appreciate survey,2
raise,2
desert,2
students staff,2
struggle food,2
lot income,2
new mexicans,2
teachers,2
think,2
issue students,2
new mexico,2
unm does,2
thank opportunity,1
branch faculty,1
opportunity participate,1
participate survey,1
travel,1
access healthcare,1
participate,1
issue travel,1
healthcare issue,1
partner makes,1
campus needs,1
good income,1
affordable food,1
food students,1
po step,1
making healthy,1
areas insecurity,1
access menstrual,1
menstrual products,1
unm state,1
difference faculty,1
doctors afford,1
employees make,1
pay food,1
provided meals,1
completing survey,1
provide data,1
healthy affordable,1
survey bit,1
food available,1
students long,1
121,1
boxes food,1
vulnerable students,1
people teachers,1
basic,1
rural,1
thank giving,1
difficult writing,1
rural community,1
time poverty,1
yogurt campus,1
frozen yogurt,1
poverty,1
campus addressed,1
faculty staff,1
poverty campus,1
yogurt,1
need frozen,1
faculty work,1
foreign employees,1
exploit foreign,1
theyâ foreigners,1
employees assume,1
devaluing faculty,1
alb faculty,1
feel better,1
nearest community,1
basic problem,1
giving space,1
loyaltyã,1
income didn,1
certain loyaltyã,1
partner,1
faculty promoting,1
teachers certain,1
run college,1
campus truly,1
education department,1
entire campus,1
motto icare,1
support groups,1
provide support,1
attention teachers,1
government education,1
abuse dependency,1
support support,1
housing community,1
community campus,1
staff resentful,1
time employee,1
survey study,1
resources learned,1
expensive,1
nutrition people,1
nutrition,1
proper nutrition,1
education just,1
ruidoso needs,1
village ruidoso,1
care tourists,1
ruidoso,1
care residents,1
interconnected inequity,1
inequity,1
inequities,1
inequity stems,1
interconnected,1
social programs,1
medical care,1
income level,1
various social,1
office,1
miles office,1
95 miles,1
miles,1
pantry helped,1
