Keyword,Count
campus healthy,2
better selection,2
balanced,2
unhealthy expensive,2
dietary,2
meal faculty,2
afford meals,2
students campus,2
doesn,2
better choices,2
restrictions,2
available options,2
food processed,2
ingredients,2
students employees,2
need better,2
food unhealthy,2
bought,2
just ok,2
just salads,2
packaged food,2
options sub,2
diverse,2
gross,2
campus eat,2
wing eatery,2
taste good,2
types food,2
unmh cafeteria,2
junk,2
appreciate,2
basic,2
wish cafe,2
dining options,2
diversity,2
open longer,2
campus choose,2
small cafe,2
menu,2
supply,2
campus nice,2
purchase,2
cafe limited,2
sub la,1
cafeteria twice,1
cub students,1
restaurants near,1
montanita op,1
cafeteria cafeteria,1
affordable compared,1
size campus,1
flavorful options,1
salads sandwiches,1
fully remote,1
plan muffin,1
needy staff,1
offering soup,1
soup kitchen,1
little healthy,1
limited fried,1
kitchen open,1
spot campus,1
fried overpriced,1
operation,1
eaten cafeteria,1
good small,1
kitchen needy,1
places food,1
fully,1
options meal,1
employee,1
operation broader,1
smoothie salads,1
cafeteria isn,1
ok kitchen,1
prepackaged unhealthy,1
bank,1
decent hours,1
food colleges,1
pay salad,1
plate salad,1
lunch instead,1
week lunches,1
lunches campus,1
food costs,1
don campus,1
mainly unhealthy,1
order menu,1
options especially,1
beneficial options,1
try,1
current food,1
havenâ,1
pricey cafeteria,1
truck,1
pretty balanced,1
havenâ try,1
discounts students,1
priority nutritious,1
drive restaurants,1
salad pricey,1
avail,1
places prepackaged,1
options places,1
spread campus,1
ability,1
limited ability,1
ability avail,1
ccc,1
ccc need,1
campus located,1
choose foods,1
variety diets,1
diets price,1
affordable prices,1
vendor affordable,1
access campus,1
food easy,1
choice options,1
colleges discounts,1
nice don,1
don run,1
public,1
pretty limited,1
supply kinds,1
filters water,1
faculty offices,1
variety single,1
kinds food,1
offices nice,1
fresh filters,1
insufficient options,1
carb,1
carb fatty,1
fatty foods,1
high carb,1
just wish,1
like junk,1
wish hours,1
food bank,1
hours accessible,1
la,1
bank programs,1
aren fresh,1
water faculty,1
cutbacks places,1
limit purchasing,1
profitable,1
welfare,1
public welfare,1
buy bulk,1
family eat,1
welfare profitable,1
dishes,1
rich taste,1
dishes rich,1
based food,1
security,1
bulk family,1
basic food,1
food security,1
large cutbacks,1
places just,1
cutbacks,1
bulk,1
remote employee,1
foods offered,1
variety decent,1
food spread,1
protein options,1
vegetarian protein,1
foods vegetarian,1
fril healthy,1
rid chick,1
chick fril,1
responsible restaurant,1
rarely,1
late night,1
night early,1
available late,1
close 3pm,1
campus close,1
salad greens,1
greens cafe,1
lunch fast,1
cool,1
issue,1
costly issue,1
people food,1
food poor,1
supply diverse,1
unmh,1
member cafeteria,1
cafeteria prices,1
safety,1
safety nutrition,1
vegetable containing,1
places eat,1
supply food,1
great places,1
lunches,1
east campus,1
lunches east,1
choice lunches,1
salads soups,1
variety vendor,1
inconvenient,1
gross inconvenient,1
savings meal,1
food haven,1
away,1
work building,1
away work,1
far away,1
items healthier,1
restaurants grab,1
selection restaurants,1
grab students,1
places healthier,1
building west,1
closer office,1
office building,1
selection high,1
campus somewhat,1
court campus,1
campus pretty,1
access great,1
varied,1
food varied,1
hours sub,1
need grab,1
lunch work,1
decent salads,1
central campus,1
campus easy,1
campus near,1
mix,1
vendor greed,1
good mix,1
mix limited,1
limited vendor,1
meal better,1
cheaper meal,1
serve campus,1
mary,1
kitchen food,1
sparse expensive,1
campus question,1
allergies food,1
adequate expensive,1
close,1
early,1
operation hours,1
hours close,1
close early,1
food convenient,1
cafeteria offers,1
great expensive,1
grab healthy,1
grab,1
terrible food,1
food nutritious,1
super expensive,1
organic healthy,1
want,1
meat,1
want meat,1
lots choices,1
dining varies,1
wide,1
live campus,1
students live,1
pantries,1
pantries help,1
food pantries,1
purchased food,1
processed expensive,1
campus parking,1
unm hsc,1
costs lot,1
selection quality,1
free,1
need gluten,1
entirely,1
selection budget,1
budget expensive,1
food fruit,1
vegetables corn,1
nutritious good,1
food style,1
pricy hours,1
south,1
service restaurant,1
great grocery,1
store campus,1
diversity ethnic,1
cuisines nice,1
cuisines,1
greater diversity,1
ethnic cuisines,1
offers,1
like campus,1
cost big,1
big selection,1
local,1
options local,1
expect pay,1
options expect,1
fine options,1
locations limited,1
pantry needs,1
18 year,1
olds,1
18,1
year olds,1
selections diversity,1
diversity selections,1
healthier selections,1
albuquerque,1
fruit veggies,1
operative store,1
walking service,1
cafeterias campus,1
minutes away,1
south campus,1
ok times,1
need choices,1
don utilize,1
providers,1
utilize campus,1
campus providers,1
cafeteria dining,1
campus choices,1
rural campus,1
appreciate healthy,1
packed lunch,1
food save,1
fantastic menu,1
kitchen fantastic,1
menu affordable,1
foods chips,1
processed foods,1
nutrition affordable,1
food stocked,1
warm food,1
taos food,1
limited availability,1
availability quality,1
prepared food,1
use sub,1
fair scarce,1
albuquerque campus,1
variety availability,1
limited pricy,1
chick fil,1
vegetarians,1
options vegetarians,1
campus work,1
work wtc,1
campus considering,1
campus hsc,1
hsc campus,1
just bring,1
better healthier,1
vegetarian outside,1
week,1
week ideally,1
idk campus,1
meet dietary,1
options lot,1
lot unhealthy,1
unhealthy ones,1
nice variety,1
ideal,1
good unm,1
unm population,1
slightly,1
slightly expensive,1
selections costly,1
eat discounted,1
aware campus,1
wish choices,1
vegetarians especially,1
lotaburger places,1
stands,1
prices somewhat,1
fruit stands,1
long expensive,1
campus long,1
generally,1
generally expensive,1
sure healthy,1
campus la,1
local restaurants,1
cafeteria venting,1
foods campus,1
lunch hour,1
food lunch,1
best food,1
limited especially,1
want nutritious,1
expensive inflation,1
students used,1
pantry great,1
limited bring,1
selection limited,1
general expensive,1
food general,1
students don,1
specially,1
good specially,1
specially hospital,1
great prices,1
meals problem,1
way expensive,1
meals meat,1
goes lunch,1
cheaper food,1
provide choices,1
cafeteria use,1
cost items,1
trucks campus,1
availability limited,1
closes,1
leftovers,1
closes goes,1
want affordable,1
distance learning,1
work distance,1
learning,1
distance,1
varieties,1
healthy varieties,1
better fresh,1
longer hours,1
usually just,1
just home,1
home lunch,1
variety open,1
commercial,1
highly processed,1
processed commercial,1
mainly fast,1
pricey lot,1
lot options,1
previous,1
previous day,1
leftovers previous,1
concession stand,1
fresh veg,1
veg fruit,1
area,1
food dine,1
availiability food,1
dine college,1
food availiability,1
mejorar,1
necesita mejorar,1
better selections,1
better prices,1
small university,1
trucks serve,1
fairly diverse,1
food fairly,1
diverse healthy,1
market food,1
