Topic,Count,Name,Representation,Representative_Docs,IDs
9,55,9_none_12_121_moment,"['none', '12', '121', 'moment', 'any', 'at', 'think', 'all', 'can', 'of']","['none', 'none', 'none']","['674', '813', '1379', '2411', '4065', '4964', '6256', '7026', '7285', '7293', '7494', '7614', '7956', '10000', '10678', '10679', '11057', '11888', '11899', '13078', '13413', '13857', '13967', '14081', '2411', '4964', '5615', '6091', '6282', '10000', '10135', '10678', '13078', '13834', '13967', '3811', '3966', '4964', '5079', '5429', '5597', '6482', '6909', '7285', '7459', '9125', '10000', '11903', '12095', '12494', '12818', '13078', '13796', '13967', '14601']"
10,53,10_survey_thank_this_you,"['survey', 'thank', 'this', 'you', 'hope', 'conducting', 'for', 'important', 'results', 'thanks']","['Thank you for the survey. ', 'No, thank you for this survey!', 'Thank you for this survey. ']","['8444', '522', '788', '1014', '1105', '1128', '1214', '2406', '2557', '2741', '2760', '2848', '2966', '3893', '3909', '5263', '5413', '5863', '5909', '5953', '6076', '6119', '6313', '6346', '6355', '6379', '6388', '6559', '7265', '7408', '7563', '7877', '7956', '8897', '8902', '8915', '9037', '9075', '9076', '9107', '9280', '9336', '10146', '10466', '10706', '10778', '11166', '11534', '11538', '11547', '13291', '13425', '14314']"
11,52,11_no_yes__,"['no', 'yes', '', '', '', '', '', '', '', '']","['No.', 'no.', 'No...']","['954', '1237', '10692', '1501', '3413', '3435', '8023', '11976', '13121', '923', '1321', '1422', '1446', '1501', '2534', '2816', '3046', '3413', '3466', '3550', '5488', '6281', '6399', '6530', '6658', '6998', '7017', '7293', '7729', '8894', '8953', '9028', '9142', '9165', '9698', '10023', '10395', '10687', '10826', '10975', '11820', '12105', '12404', '13120', '13226', '13447', '13763', '13839', '14411', '14715', '15121', '15222']"
12,51,12_na_virtually_ninguna_ni,"['na', 'virtually', 'ninguna', 'ni', 'nada', 'jonen', 'afectan', 'work', 'no', '']","['na', 'na', 'na']","['91', '243', '391', '496', '584', '1380', '2377', '3457', '3639', '4020', '5659', '5852', '6238', '6456', '6950', '7024', '7029', '8349', '8903', '9680', '10591', '10760', '11691', '12615', '13195', '13391', '13828', '15129', '243', '391', '1380', '3457', '4020', '6456', '8349', '10030', '10591', '13391', '243', '391', '406', '496', '1380', '3457', '3500', '6282', '9068', '10030', '10591', '10760', '14594']"
13,50,13_doesn_does_it_not,"['doesn', 'does', 'it', 'not', 'moment', 'alot', 'doesâ', 'younger', 'luckily', 'fortunately']","[""it doesn't"", ""It doesn't."", ""It doesn't.""]","['400', '412', '422', '1396', '1495', '2342', '2407', '2518', '2855', '3053', '3413', '3885', '3966', '4093', '5847', '6281', '6314', '6661', '6917', '6985', '7649', '7816', '7968', '8929', '8941', '9068', '9079', '9106', '9213', '9258', '9420', '9531', '9640', '9807', '10288', '10356', '10413', '11065', '12266', '12432', '12464', '13067', '13834', '13907', '14411', '14468', '15184', '15214', '9068', '8596']"
14,49,14_worry_about_my_bills,"['worry', 'about', 'my', 'bills', 'home', 'work', 'able', 'job', 'make', 'enough']","['It is exhausting to constantly be worrying about costs. I tried to cut internet from home but it was required for work or classes. I make too much so I do not qualify for any help. I have to keep my home at freezing temps so that my gas bill is not too high, but then wake up with no water to take a shower. It is a horrible feeling to go to work unbathed. ', 'In one of the text boxes I explained this but I want to share it here so it is obvious. I\'m temporary part-time faculty but I\'m working OVER ""full-time"". I work more than a full-time employee (depending on the semester). This semester I\'m 108% employed. Despite this insane amount of work, I make very little, worry about saving for retirement, don\'t have any job security, don\'t have reliable benefits, and feel my only option to make this work is to live with my parents and eat their food.', 'I worry about my next meal or if I will have enough money to pay my rent and additional bills as well as gas.']","['367', '608', '1321', '1574', '2437', '2503', '2836', '3080', '4759', '5823', '5834', '5850', '5877', '5914', '6018', '6061', '6161', '6162', '6363', '7012', '7564', '8559', '8612', '8996', '9581', '10043', '10444', '10735', '10881', '12339', '12372', '12698', '13933', '14467', '15012', '15169', '184', '693', '2604', '2615', '6161', '7446', '8345', '8437', '9133', '12528', '13953', '14149', '14604']"
15,46,15_students_worry_affects_my,"['students', 'worry', 'affects', 'my', 'impacts', 'class', 'personally', 'it', 'greatly', 'directly']","[""It doesn't affect me directly, but it affects my work because I work with students."", ""It doesn't affect me, but I worry about my students."", 'I worry for my students. It does not affect me personally.']","['141', '228', '521', '1357', '2156', '2321', '2506', '3484', '5936', '6100', '6299', '6355', '6374', '6388', '6406', '7259', '7287', '7433', '7540', '7660', '8023', '8064', '8397', '8920', '9076', '9078', '9098', '9333', '9464', '9500', '9507', '10183', '10224', '10731', '12532', '13127', '13278', '14091', '14996', '737', '2397', '5905', '15129', '6126', '6359', '6714']"
16,44,16_housing_rent_find_in,"['housing', 'rent', 'find', 'in', 'afford', 'rentals', 'move', 'here', 'is', 'to']","[""There is a large and well-supported literature empirically linking land use restrictions (zoning, height and density limits, architectural/style limitations, etc.) to more limited housing supply. The University could play a valuable role in disseminating this information. (For reference, please see Harvard's Edward Glaeser or GMU's Alain Bertaud)."", ""Rent for housing in Gallup is high; home prices are also expensive. I don't know if I would qualify for a mortgage out here even though I've previously owned 2 other homes. But if I did, the money we saved between the rent and the mortgage would go to student loans. I couldn't even use that $ to offset the costs of inflation/COLA."", ""I am currently living in senior housing, but now that I'm working full time I will have to find new housing. Rents are so high I have been searching for a house, but can't find anything in my approval range that doesn't require major repairs I can't afford. I'm very worried about finding affordable housing when I have to leave here. Anxiety/depression when condos I thought I might be able to afford fell through because of huge repair costs. I normally do not have anxiety/depression.""]","['2550', '2784', '3323', '3430', '4220', '6340', '7234', '7532', '7887', '8922', '9028', '11790', '2662', '2939', '3212', '5709', '5921', '5983', '6050', '6877', '7223', '7769', '7809', '8191', '8884', '9083', '11790', '12383', '12831', '13120', '13736', '13981', '14691', '15033', '2666', '2697', '3355', '4482', '6866', '7892', '8001', '10081', '10992', '13317']"
17,44,17_free_students_healthy_breakfast,"['free', 'students', 'healthy', 'breakfast', 'provide', 'faculty', 'meals', 'for', 'lunch', 'obtain']","[""Provide more food options and events with free food in multiple locations and also do a better job advertising. I often see events with free food for faculty and sometimes staff throughout the day for different occasions, but rarely for students. If anything, events with free food for students tend to be at nighttime, or that's what it feels like."", 'Provide free meals to students', 'provide free food to students']","['11130', '13885', '334', '788', '813', '980', '1194', '1435', '2570', '2599', '3808', '4334', '4558', '5814', '6195', '6967', '7213', '7540', '7613', '7671', '8990', '9072', '9333', '9467', '9776', '10473', '10749', '11500', '11578', '12386', '13303', '13317', '13833', '13843', '13857', '13885', '400', '2884', '5935', '6287', '6303', '10707', '12462', '13565']"
18,42,18_hasn_moment_has_never,"['hasn', 'moment', 'has', 'never', 'not', 'at', '10', 'yet', 'it', 'aug']","[""It hasn't."", ""it hasn't"", ""It hasn't. ""]","['12', '108', '408', '718', '1099', '1154', '2468', '2697', '3822', '4442', '4705', '5093', '5509', '5908', '6037', '6076', '6955', '7892', '9001', '10230', '10243', '10737', '10975', '11820', '12295', '12298', '12447', '13121', '14004', '14125', '14691', '12', '1929', '2260', '3042', '4708', '10655', '10762', '12298', '13830', '14046', '14544']"
19,42,19_is_it_not_thankfully,"['is', 'it', 'not', 'thankfully', 'ok', 'fortunately', 'am', '', '', '']","['It is not.', 'It is not.', 'It is not.']","['1113', '1377', '1456', '2637', '2736', '3471', '4117', '5891', '5905', '6231', '6334', '6434', '6467', '6475', '6583', '6651', '6698', '6791', '6872', '7083', '7665', '7728', '7797', '7877', '8894', '8907', '8989', '9120', '9191', '9226', '9438', '9634', '10302', '10500', '10708', '10826', '12233', '14330', '14639', '15033', '15125', '15131']"
20,41,20_affect_work_my_doesn,"['affect', 'work', 'my', 'doesn', 'does', 'it', 'let', 'not', 'believe', 'impacting']","['It does not affect my work', 'It does not affect my work.', 'It does not affect my work.  ']","['390', '979', '1158', '2394', '2397', '2530', '2593', '2741', '2760', '2840', '2915', '3135', '3474', '3508', '3838', '3964', '4365', '6381', '6400', '6930', '6933', '7088', '7283', '7881', '7916', '8955', '8964', '8981', '9062', '9067', '9096', '10620', '10622', '10715', '11039', '11076', '13232', '13722', '13987', '13997', '14510']"
21,39,21_is_it_not_,"['is', 'it', 'not', '', '', '', '', '', '', '']","['It is not', 'It is not', 'it is not']","['653', '882', '1013', '1312', '2578', '2654', '2713', '3827', '4002', '5486', '5681', '5843', '5903', '6232', '6240', '6269', '6656', '6696', '6827', '7181', '7638', '8905', '9037', '9114', '9687', '9790', '10023', '11540', '11722', '12688', '13056', '13236', '13332', '13823', '13973', '14915', '15042', '15111', '15138']"
22,37,22_all_at_not_moment,"['all', 'at', 'not', 'moment', 'the', '', '', '', '', '']","['Not at all ', 'Not at all.', 'Not at all.']","['503', '744', '957', '1014', '2395', '2972', '3020', '3148', '3466', '4170', '6034', '6043', '6237', '6326', '6344', '6465', '6505', '6652', '7104', '7609', '8479', '8842', '8883', '8888', '8947', '8956', '9027', '9522', '11092', '11114', '11670', '11822', '12250', '12270', '12427', '13397', '13730']"
23,35,23_increase_raise_pay_salaries,"['increase', 'raise', 'pay', 'salaries', 'salary', 'give', 'wages', 're', 'me', 'raises']","['Increase pay', 'Increase pay ', 'Increase pay']","['2565', '152', '891', '1177', '1422', '5987', '6010', '6012', '6219', '6223', '6376', '6438', '6511', '7477', '7615', '7657', '7931', '8001', '9044', '9088', '9981', '10713', '10854', '11534', '12315', '12396', '13004', '13412', '13933', '14864', '6012', '6732', '8880', '14424', '14467']"
24,35,24_help_assistance_hope_support,"['help', 'assistance', 'hope', 'support', 'need', 'people', 'violence', 'get', 'more', 'those']","['We need help', 'Help more', ""The intersection of housing/food insecurity and intimate partner violence is very strong. People who are leaving abusive relationships may have high, accute, time sensitive needs, and we need interim as well as long term supports for them, and the current supports through the Women's Resource Center are wonderful but extremely understaffed and underfunded. They cannot support all of the need that exists.""]","['2518', '4285', '4710', '5876', '7252', '8671', '9016', '9062', '9186', '9494', '11483', '11559', '12295', '12532', '12887', '12978', '13337', '13792', '13858', '737', '2167', '2266', '2410', '2508', '2518', '2651', '3474', '4442', '5378', '5585', '9305', '10447', '12478', '12821', '14445']"
25,34,25_donâ_itâ_theyâ_doesnâ,"['donâ', 'itâ', 'theyâ', 'doesnâ', 'hasnâ', 'isnâ', 'know', 're', 'iâ', 'permit']","['I donâ€™t know', 'I donâ€™t know ', 'Donâ€™t exploit your foreign employees and assume theyâ€™ll take that because theyâ€™re foreigners. ']","['2167', '3058', '3460', '4280', '5907', '6104', '6296', '6350', '6701', '8002', '8096', '8271', '8371', '9791', '10070', '10520', '11420', '14352', '12', '45', '2713', '3025', '3460', '4339', '5486', '6242', '6505', '6602', '6607', '9451', '9791', '1427', '9451', '9791']"
26,34,26_state_tuition_students_loans,"['state', 'tuition', 'students', 'loans', 'federal', 'funding', 'critical', 'financial', 'provide', 'for']","['I feel these issues need socioeconomic structural changes in society requiring legislation at the state and federal levels to provide people with basic needs and free tuition so that no one has to deal with being insecure in food and shelter, or has to choose between getting an education or buying food for their family. ', 'I Having been a student in the bad old days some of the issues with food was that I did not qualify for any assistance,  My undergraduate was from Texas A&M and they had a great program from former students that supplied loans that did not have interest to pay tuition which could be paid off at the end of semester.  There were enough jobs around that I could work several and pay it off.  Graduated without debt.  Here there are not enough jobs even though the city is much bigger and federal loans is the only way, especially for graduate students, to make ends meet.  The grad students at Texas had health insurance which eased my burden.  Of course, the state had approved such a thing.  ', ""The prevalence of poverty and food insecurity in the state and DoÃ±a Ana County dramatically highlight the need for basic needs support for our students in higher education in the state. Our legislators, elected reps, and state dept. of higher ed. need to be made aware of this. Thank you, UNM for conducting this study to provide the data that will be critical to forcing state leadership's attention to the issue.""]","['45', '97', '150', '252', '380', '404', '882', '942', '2122', '2560', '2697', '2848', '3037', '3262', '6406', '8916', '8930', '8968', '9067', '9702', '10253', '10695', '10708', '11863', '13056', '13404', '13925', '15127', '5997', '6104', '6991', '9121', '10253', '13303']"
27,33,27_employees_pay_staff_wages,"['employees', 'pay', 'staff', 'wages', 'livable', 'erb', 'wage', 'their', 'more', 'got']","['Pay their employees a livable wage.', 'Pay employees better.', 'Pay employees more:)']","['6688', '1105', '1315', '2260', '2550', '2617', '2852', '5478', '5816', '5888', '5953', '6018', '6117', '6126', '6382', '6875', '6922', '6930', '8158', '8892', '10156', '10199', '12155', '12372', '12698', '13094', '13203', '13992', '14989', '1433', '1776', '8967', '10713']"
28,30,28_adjuncts_adjunct_pay_wage,"['adjuncts', 'adjunct', 'pay', 'wage', 'first', 'professors', 'living', 'year', 'salary', 'lost']","['Pay adjuncts a living wage. ', 'Pay adjuncts a living wage.', 'pay adjuncts more']","['6294', '10854', '754', '1174', '1374', '1396', '1776', '2533', '6171', '6287', '6359', '6381', '6416', '6896', '8475', '9182', '9581', '10444', '12980', '13927', '14085', '14406', '14850', '2533', '6171', '6195', '6280', '10220', '10854', '14850']"
29,30,29_focus_unable_concentration_focused,"['focus', 'unable', 'concentration', 'focused', 'hard', 'concentrate', 'distracted', 'cant', 'inability', 'tasks']","['Unable To Focus', 'Hard to focus.', 'hard to focus']","['152', '178', '285', '1422', '1477', '2730', '3200', '3882', '4157', '6006', '6359', '6823', '7448', '7821', '8115', '8671', '8902', '9008', '9558', '10233', '10426', '10742', '12320', '12594', '12666', '12827', '13801', '13913', '14226', '14927']"
30,29,30_prices_rising_costs_grocery,"['prices', 'rising', 'costs', 'grocery', 'expensive', 'food', 'going', 'increasing', 'of', 'affordable']","['Higher pay to compete with rising prices of groceries or having more available at food pantries', 'Rising costs of food are putting a strain on my budget even though I am not food or housing insecure. Rising costs of medical insurance are the same way. Although I have some extra money to spend on leisure, that percentage is going down significantly in recent months. My HH members and I have discussed getting chickens and growing food plants to help defray the costs of food.', 'Because of rising food prices']","['1342', '2416', '2666', '4077', '5918', '6607', '7016', '8043', '12396', '12965', '13321', '13367', '13447', '13756', '744', '1076', '2530', '3200', '3822', '3846', '5826', '6076', '6528', '6688', '7256', '9098', '2409', '3925', '5681']"
31,29,31_not_bod_slightly_,"['not', 'bod', 'slightly', '', '', '', '', '', '', '']","['not', 'Not', 'not']","['455', '945', '1310', '1623', '2523', '2749', '3869', '4278', '4339', '4570', '5238', '6242', '6602', '6714', '6943', '7025', '8155', '8912', '9121', '9228', '10072', '10346', '10990', '11060', '12105', '13289', '13706', '13833', '14947']"
32,28,32_faculty_staff_pay_part,"['faculty', 'staff', 'pay', 'part', 'extra', 'salaries', 'wage', 'living', 'paid', 'time']","['increase salaries for faculty and staff', ""It would have been nice to have been hired full-time. But that is not going to happen now that enrollment is down. Maybe offer a year's worth of classes to part-time faculty? Not give priority to full-time in the summer. But, there is probably not a damn thing the university will do to help out its part-time faculty. It is obvious that admin does not care about its part-time workforce. "", 'Pay higher wages to staff. The fact that faculty get bonuses and incentives and annual raises every single year, whereas staff has only seen an increase in the last couple of years is absurd. Staff often work harder than faculty and without the perks of FOM and annual raises and bonuses. You cannot discuss equity without talking about the glaring issue that faculty earn so much more than staff, and many have simply completed a basic degree. ']","['754', '5600', '8954', '1226', '1513', '1603', '2653', '3484', '3837', '3878', '5815', '5825', '6149', '6162', '6259', '6827', '7287', '7757', '8961', '8966', '9056', '9327', '13105', '5847', '6069', '7066', '9056', '9486']"
33,27,33_que_de_la_los,"['que', 'de', 'la', 'los', 'un', 'comida', 'con', 'por', 'para', 'mi']","['Apilar con comida en buenas condiciones que no estÃ© caducada y sea comida fresca y saludable y apilar con vivienda a los que viven fuera en la calle siempre y cuando quieran superarse', 'aumentar mi salario sin que me lo quite mi aseguransa por que nomas nos suven un poco la aseguranza se queda con el', 'Me gustaria que los bancos y las agencias que ofrecen alimentos no preguntaran por documentos que las personas no tienen para poder ser elegibles para la comida.']","['511', '869', '4212', '9489', '12391', '13106', '14093', '178', '378', '723', '869', '4212', '4362', '9489', '12391', '13106', '13635', '13638', '14093', '14594', '378', '869', '4212', '4362', '9489', '12391', '13638']"
34,27,34_affecting_work_my_currently,"['affecting', 'work', 'my', 'currently', 'is', 'it', 'not', 'thankfully', 'affect9ng', 'normalize']","['It is not affecting my work.', 'It is not affecting my work', 'It is not affecting my work.']","['513', '755', '923', '1105', '1222', '1427', '1545', '2443', '2588', '2877', '3986', '5968', '6056', '6074', '7908', '8567', '8953', '9166', '9570', '10315', '10395', '10685', '14601', '14619', '14719', '4085', '10762']"
35,27,35_affecting_affected_not_unaffected,"['affecting', 'affected', 'not', 'unaffected', 'affect', 'jt', 'does', 'effecting', 'it', 'mostly']","['Not affecting it', 'not affecting it', 'Not affecting it.']","['397', '585', '737', '1295', '2704', '2781', '2887', '3308', '5863', '5899', '6250', '6438', '6447', '7065', '7445', '7560', '7586', '8943', '9073', '9268', '10030', '11172', '11483', '12289', '14864', '14952', '15038']"
36,27,36_higher_wages_pay_competitive,"['higher', 'wages', 'pay', 'competitive', 'skills', 'increase', 'better', 'salary', 'raises', 'appropriately']","['higher wages', 'Higher wages', 'Pay higher wages.']","['10734', '176', '298', '379', '2403', '2571', '2620', '2871', '2965', '3349', '5891', '6056', '6280', '6340', '6703', '7138', '7985', '8028', '9558', '9645', '10196', '11032', '12301', '12345', '13863', '13932', '15072']"
37,26,37_cnm_montoya_pantry_assistance,"['cnm', 'montoya', 'pantry', 'assistance', 'food', 'nice', 'great', 'offers', 'the', 'promote']","['Provide how meals at Montoya campus (CNM)', 'CNM does food banks, which is really nice.  Anyone with an ID can get food, students and faculty.  Great job CNM.', 'Not many food options on the CNM campus.']","['517', '2630', '2816', '2877', '2971', '3042', '3454', '3468', '3726', '4068', '5388', '5599', '7008', '9717', '10224', '10485', '11092', '13886', '14637', '2840', '3726', '3878', '3882', '4558', '4648', '10485']"
38,26,38_nothing_else_luna_input,"['nothing', 'else', 'luna', 'input', 'share', 'everything', 'time', 'at', 'me', 'going']","['NOTHING ', 'nothing', 'Nothing']","['5265', '837', '923', '1312', '1545', '3046', '3135', '3872', '5559', '6237', '6413', '7025', '7638', '8880', '10070', '12464', '13844', '313', '2758', '5249', '6896', '10346', '11060', '11061', '11483', '12978']"
39,25,39_meals_options_meal_diabetic,"['meals', 'options', 'meal', 'diabetic', 'provide', 'inexpensive', 'cheaper', 'mostly', 'healthy', 'nutrition']","[""We have decent options but I don't want to incur the expense although our meal costs are appropriate for the rising costs we are currently experiencing nationally"", ""I can only afford to cook at home, mostly we have ground beef or chicken, potatoes, rice, or pasta, and bread. That is not good when I'm diabetic. "", 'Provide affordable meal options. ']","['3356', '6927', '9128', '571', '965', '1141', '1456', '1568', '2946', '3531', '3984', '4117', '4170', '4553', '5204', '6681', '8009', '8905', '9005', '9305', '11820', '13796', '13902', '15211', '11531']"
40,25,40_inflation_rising_increase_match,"['inflation', 'rising', 'increase', 'match', 'salary', 'give', 'pay', 'with', 'salaries', 'rise']","['Need better pay with this rising inflation. ', 'Need better pay with this rising inflation.', 'Inflation']","['888', '2656', '2930', '4064', '6599', '9466', '12528', '1188', '2615', '2656', '6121', '6437', '7006', '8345', '9262', '9481', '13291', '13912', '13997', '14567', '2656', '2852', '6326', '7840', '10135']"
41,25,41_applicable_not_engaged_lucky,"['applicable', 'not', 'engaged', 'lucky', 'either', 'am', 'me', 'to', '', '']","['Not applicable ', 'not applicable', 'Not applicable']","['768', '965', '1214', '3107', '3165', '3506', '5599', '6035', '6080', '6241', '6427', '6482', '6813', '7446', '7491', '10706', '10863', '11559', '14644', '3107', '3506', '6231', '9228', '13321', '6813']"
42,24,42_nn_me_affecting_work,"['nn', 'me', 'affecting', 'work', 'my', 'not', 'for', 'to', '', '']","['n/a to me', 'n/a for me', 'nN/A']","['334', '812', '1029', '1093', '2998', '5595', '5950', '5986', '6032', '6140', '6252', '6623', '8254', '9534', '10371', '10740', '2559', '5681', '6623', '9534', '1093', '6197', '6623', '8254']"
43,24,43_anxious_anxiety_causes_makes,"['anxious', 'anxiety', 'causes', 'makes', 'mind', 'feeling', 'me', 'severe', 'tension', 'emotional']","['anxious', 'It makes me feel anxious', 'makes me anxious']","['2852', '3875', '4222', '5017', '5079', '5460', '5719', '6075', '6998', '7831', '8344', '8570', '8655', '8997', '9112', '10655', '10690', '13804', '14231', '14486', '14607', '15024', '4759', '7866']"
44,24,44_more_food_variety_distribution,"['more', 'food', 'variety', 'distribution', 'options', 'available', 'provide', 'choices', 'accumulation', 'commodities']","['Have more food options available', 'Have more food options available.', 'more food']","['14925', '403', '2516', '2665', '3986', '5042', '5638', '6107', '6261', '6659', '7494', '8066', '9181', '10074', '10187', '10408', '11057', '12374', '12712', '13281', '13974', '14445', '15010', '15126']"
45,24,45_it_not__,"['it', 'not', '', '', '', '', '', '', '', '']","[""It's not"", ""it's not"", ""it's not""]","['1030', '1307', '1334', '2667', '2976', '2977', '3203', '3289', '3893', '3993', '4045', '4553', '6803', '6850', '8164', '8787', '9218', '10749', '13766', '13855', '13863', '14034', '14713', '15213']"
46,23,46_bad_thank_half_you,"['bad', 'thank', 'half', 'you', 'good', 'fine', 'mildly', 'severely', 'poorly', 'okay']","['Not bad', 'not half bad', 'not half bad']","['3896', '4648', '5488', '8880', '11538', '11903', '12386', '12728', '12746', '12978', '13316', '13902', '2523', '5509', '7285', '12728', '1292', '6019', '6074', '7769', '7927', '12746', '13337']"
47,22,47_say_prefer_comment_suggestions,"['say', 'prefer', 'comment', 'suggestions', 'answer', 'thought', 'don', 'else', 'anything', 'let']","[""I don't have anything else to say."", 'Prefer not to say', 'Prefer not to say']","['693', '1386', '2412', '2572', '3823', '10687', '828', '2394', '2412', '3966', '4933', '5249', '6975', '7293', '10395', '10705', '10826', '2397', '6598', '7327', '7482', '11479']"
48,22,48_resources_available_advertise_more,"['resources', 'available', 'advertise', 'more', 'promote', 'say', 'providing', 'kiosks', 'judgmental', 'fits']","['provide more resources for the community ', 'Community resources', 'More resources ']","['10271', '163', '406', '1214', '3832', '3896', '6728', '8416', '8894', '8902', '8964', '9270', '10323', '12250', '12368', '14101', '14226', '15221', '4205', '8479', '8913', '15050']"
49,22,49_living_cost_salaries_wages,"['living', 'cost', 'salaries', 'wages', 'raise', 'increase', 'increases', 'remarkably', 'of', 'match']","['ask for budget increase or seek additional funding to be able to increase salaries, that match the high cost of living in this area. ', 'Increase salaries to match the cost of living in the area', 'Raise(s) in pay, including cost of living.']","['5378', '608', '1097', '1231', '1477', '2565', '2572', '3916', '6022', '6075', '6138', '6316', '6951', '8243', '9896', '10242', '12381', '12594', '14231', '608', '2738', '6136']"
50,22,50_sure_not_unsure_im,"['sure', 'not', 'unsure', 'im', 'to', '', '', '', '', '']","['Not Sure.', 'Not sure.', 'not sure']","['2879', '109', '422', '937', '2438', '2578', '3838', '3925', '4056', '4541', '5572', '6400', '7181', '8655', '9165', '9513', '10975', '12107', '13149', '13835', '14004', '14136']"
51,21,51_time_this_at_not,"['time', 'this', 'at', 'not', 'times', 'way', 'no', 'in', '', '']","['Not at this time.', 'Not at this time.', 'Not at this time.']","['2994', '6002', '108', '115', '755', '1222', '2461', '3136', '3450', '3922', '4365', '5913', '9098', '9166', '9172', '9524', '10187', '12250', '13300', '13844', '14468']"
52,21,52_thank_you_no_thanks,"['thank', 'you', 'no', 'thanks', 'doing', 'ery', 'nope', 'this', 'already', 'some']","['No thank you', 'no thank you.', 'No thank you ']","['10346', '13994', '412', '945', '980', '3163', '3468', '3491', '3970', '5816', '6276', '6927', '9042', '9534', '10685', '11019', '12270', '13391', '14432', '14637', '15195']"
53,20,53_vouchers_farmers_pantries_market,"['vouchers', 'farmers', 'pantries', 'market', 'stores', 'items', 'grocery', 'donate', 'boxes', 'food']","['Grocery vouchers for those in need.  Food pantries may not provide some household items or food preferences.  ', 'Farmers Market vouchers ', 'Food pantries or vouchers']","['14136', '285', '363', '1293', '3310', '3500', '4093', '4116', '7310', '8254', '9085', '9112', '10392', '10731', '11060', '12296', '12468', '13232', '13332', '10216']"
54,20,54_isn_it_not_its,"['isn', 'it', 'not', 'its', '', '', '', '', '', '']","[""It's not."", ""It's not."", ""It's not.""]","['1231', '2408', '2592', '3046', '3270', '3411', '3573', '5894', '7403', '7729', '8345', '8951', '8962', '9077', '9200', '10187', '10697', '11166', '13839', '14885']"
55,20,55_free_events_planet_meals,"['free', 'events', 'planet', 'meals', 'cheap', 'waste', 'don', 'why', 'drive', 'that']","['Provide more free food', 'Free food', ""Zoom events don't work. HR offers all of these stupid online programs that are a waste of energy. Don't reward people with shit that isn't good for the planet. Stop buying cheap swag that transforms into trash upon receipt. Don't shop on Amazon.  Don't take athletes out for fast food on the road. Look at the problem with a wide angle lens instead of putting a band-aid on systematic issues. Giving people cheap food is less effective than exploring why they need it. Our planet is overpopulated by idiots. Stop having babies. The #1 ingredient in baby formula is corn syrup. This is the real problem; you'll never have a chance to get it right with a start like that. ""]","['693', '1059', '2884', '3913', '4722', '5585', '5904', '6051', '6158', '6550', '6656', '7831', '10146', '12818', '12821', '12898', '13298', '13447', '5905', '7702']"
56,19,56_unm_initiatives_programs_principles,"['unm', 'initiatives', 'programs', 'principles', 'actions', 'new', 'hardship', 'does', 'break', 'talk']","[""I fear getting sick or any medical issues because even with astronomically, stupidly high and borderline criminal price-gauging cost of health insurance we could be easily set back months. Perhaps UNM employees could get a much steeper discount for using UNM doctors? I'd be happy to get my health care from residents and doctors in training for cheaper health care. "", 'Contribute to existing efforts! The Dean of Students Office and LoboRESPECT Advocacy Center are already doing so much to help with food and housing insecurity! UNM has a tendency to recreate the wheel whenever someone new has an idea or slightly different way of approaching a problem. We need to work together to strengthen and build our existing programs. We need people working together towards the same goal, not people working on parallel but different goals. ', 'I have had the pleasure and enjoyed my work here at UNM especially with the students and staff. Unfortunately, I have had to make the hard decision to leave UNM to pursue other employment opportunities based on higher wages, less retirement deductions and no parking fees. UNM entity is a great establishment I am just so sad I have to leave based on my current needs financially. I am praying I can come back once all this financial hardship passes. I love the campus!  ']","['577', '3696', '8340', '9037', '9106', '9340', '10049', '10258', '12207', '13526', '15028', '15050', '577', '7660', '8909', '8981', '9105', '10057', '13910']"
57,18,57_all_at_not_,"['all', 'at', 'not', '', '', '', '', '', '', '']","['not at all', 'not at all', 'not at all']","['996', '1102', '2591', '2909', '2947', '2971', '5835', '5876', '8946', '8990', '9080', '9142', '9181', '9290', '9310', '9467', '13034', '14197']"
58,18,58_doing_they_job_already,"['doing', 'they', 'job', 'already', 'are', 'plenty', 'think', 'lot', 'great', 'do']","['They are doing a great job. ', 'I think they are doing a great job', 'I think they are doing a great job. ']","['257', '390', '503', '1310', '3886', '5903', '6803', '7403', '7996', '8937', '9001', '10023', '12369', '12432', '12528', '12688', '13413', '13460']"
59,18,59_stress_stressed_causes_cope,"['stress', 'stressed', 'causes', 'cope', 'edge', 'mental', 'adds', 'stressing', 'distraction', 'keeps']","['stress', 'Stress', 'Stress']","['134', '1320', '2617', '2678', '3042', '3709', '3734', '5478', '6091', '6223', '6653', '8040', '8130', '9042', '9105', '11040', '14445', '14850']"
60,17,60_welfare_housing_lower_low,"['welfare', 'housing', 'lower', 'low', 'subsidies', 'medical', 'subsidize', 'government', 'provide', 'done']","['We will increase public welfare restaurants and welfare housing', 'Present lower costs for housing and food or give lower costing items in addition to current options.', ""I would like for inflation to go down like it use to be, a few years ago. I would like to be able to have k-9 medical insurance or government programs to cover annual shots or spay/neuter from board-certified Vets only, for all households, not just low income. I think the government should look closer into low-income people because some have nicer things than I do. A lot of people who are low income have their nails done, hair done, the newest iPhone, name-brand clothes, and nice cars. They go out to eat A LOT. I might be able to live that way too if I didn't have to pay for food, housing, and medical expenses. They play the goverment. ""]","['400', '3203', '3811', '4222', '6232', '6244', '6305', '6813', '8576', '8889', '9927', '13394', '14927', '15169', '1634', '7976', '12705']"
