Topic,Count,Name,Representation,Representative_Docs_x,IDs,Representative_Docs_y
32,27,32_inflation_rising_increase_rate,"['inflation', 'rising', 'increase', 'rate', 'raise', 'match', 'pace', 'salaries', 'salary', 'pay']","['increase wages rising inflation.', 'pay inflation. raises inflation.', 'inflation']","['2656', '2930', '4064', '9466', '14314', '1188', '2615', '2656', '6121', '6138', '6437', '7006', '7177', '8485', '9036', '9262', '9481', '13291', '13912', '13997', '14567', '2656', '2852', '6326', '14136', '14424', '14925']","['need better pay rising inflation.', 'makes heavier workload counter inflation rising costs make ends meet.', 'inflation', 'moment, prices going salary increase doesnâ€™t inflation', 'distracted, feeling pressed administration, frustrated inflation raises 3 years.']"
33,26,33_faculty_staff_teaching_underpaid,"['faculty', 'staff', 'teaching', 'underpaid', 'raise', 'education', 'profession', 'salaries', 'pay', 'we']","['pay higher wages staff. fact faculty bonuses incentives annual raises single year, staff seen increase couple years absurd. staff work harder faculty perks fom annual raises bonuses. discuss equity talking glaring issue faculty earn staff, simply completed basic degree.', ""like money make, expected able afford everything, taking account order education, pay it. means lots lots student loans, lifetime repay. makes harder start family expensive choose education. education, underpaid. frustrating, know people have/don't high school diploma making triple getting paid graduate degree. society unfair. encouraged better life getting education, don't tell struggles comes student loan debt underpaid."", 'pay insufficient faculty years. students, encourage education, people 10 + years university phds earning manager starbucks high school diploma. note basically think stupid profession pays little. college\'s view teaching wants earn good money, teaching fast possible, administration that\'s money is. but, teaching gift, want share that, earn decent salary--the college doesn\'t care, board legislature doesn\'t clue, think administrators qualified (nothing truth) responsibility . . . constantly saying we, faculty, face-to-face students that\'s important thing, obviously isn\'t won\'t pay we\'re worth. people leaving profession poor treatment. say ""people don\'t education money, it\'s vocation"" isn\'t, it\'s job, job requires years graduate school. earn deserve decent pay--we\'re mother theresa, we\'re people want look families.']","['8954', '954', '1603', '2503', '3484', '3878', '5815', '5825', '6149', '6259', '6272', '8961', '8966', '9056', '9327', '9486', '13105', '411', '3315', '5847', '6020', '6061', '6071', '7066', '9056', '9486']","['stressed thinking extra ways make money supplement faculty income.', 'pay better instead giving raises executive administration. provide better housing faculty staff students.', 'raise salaries faculty', 'pay staff/faculty more. inflation stinks!', 'pay faculty better living wage - gas issue rural area']"
34,25,34_higher_wages_pay_competitive,"['higher', 'wages', 'pay', 'competitive', 'skills', 'raises', 'hire', 'increase', 'commensurate', 'position']","['higher wages', 'pay higher wages.', 'higher wages.']","['10734', '93', '176', '298', '379', '2403', '2571', '2620', '2871', '3349', '5891', '7477', '7520', '7985', '8001', '8028', '9645', '10196', '11032', '12301', '12345', '13863', '13992', '15072', '12887']","['simply, need paid position.', 'personally... hire full-time.', 'higher wages', 'pay higher hourly wages make ends meet.', 'offer higher wages.']"
35,25,35_affect_doesn_does_work,"['affect', 'doesn', 'does', 'work', 'affects', 'believe', 'time', 'impact', 'though', 'don']","[""doesn't affect work time."", ""doesn't affect work."", ""doesn't affect work""]","['979', '1158', '2394', '2593', '2760', '2781', '2840', '3474', '4365', '6400', '6933', '7088', '7283', '8064', '8955', '8964', '9067', '9096', '10620', '10715', '10778', '11076', '13232', '13987', '14510']","['does affect work.', 'secure, does impact work.', ""doesn't really affect work don't think it."", ""doesn't affect work time."", 'believe effecting work.']"
36,24,36_applicable_either_lucky_me,"['applicable', 'either', 'lucky', 'me', '', '', '', '', '', '']","['applicable', 'applicable', 'applicable']","['768', '965', '1214', '3107', '3165', '3506', '5599', '6035', '6080', '6241', '6427', '6482', '6813', '7446', '7491', '10706', '10863', '14644', '3107', '3506', '6231', '9228', '13321', '6813']","['applicable', 'applicable', 'applicable', 'applicable', 'applicable.']"
37,24,37_affecting_currently_work_adversely,"['affecting', 'currently', 'work', 'adversely', 'motivated', 'side', 'effectively', 'effected', 'passionate', 'situation']","['affecting work', 'affecting work', 'affecting work']","['390', '513', '1222', '1545', '2397', '2643', '2998', '3729', '5643', '5813', '5968', '6056', '6381', '6930', '7908', '7916', '8472', '9166', '10315', '10685', '11534', '12345', '12900', '13916']","['impacting work', 'currently affecting work situation.', 'affecting work', ""isn't currently affecting work."", ""job need don't let affect position""]"
38,23,38_all_none_nothing_me,"['all', 'none', 'nothing', 'me', 'huge', 'well', 'going', 'lot', '', '']","['all.', 'all.', 'all.']","['957', '1014', '2568', '3466', '6043', '6237', '6344', '6465', '6505', '7265', '7293', '8947', '8956', '9027', '837', '923', '3046', '3135', '6237', '6413', '6482', '7459', '14601']","['all.', 'all.', 'huge.', 'all.', 'all.']"
39,23,39_anxiety_anxious_makes_worry,"['anxiety', 'anxious', 'makes', 'worry', 'feel', 'stress', 'cause', 'causes', 'uneasy', 'tension']","['makes anxious', 'anxiety', 'makes feel anxious']","['2852', '3702', '3875', '4222', '5017', '5460', '5597', '5719', '6075', '6998', '7477', '7831', '8344', '8364', '8570', '8945', '9112', '9776', '10655', '10690', '14149', '14231', '15024']","['makes scared', 'stress depressing cause poor concentration anxiety', 'makes anxious difficult focus embarrassed participate groups gatherings.', 'makes feel anxious', 'anxious']"
40,22,40_isn_currently__,"['isn', 'currently', '', '', '', '', '', '', '', '']","[""isn't"", ""isn't"", ""isn't""]","['989', '2592', '2822', '3163', '3327', '3532', '6313', '6342', '6743', '7770', '8022', '8345', '8913', '8937', '8951', '8962', '9657', '9703', '11578', '11879', '13418', '13975']","[""isn't"", ""isn't."", ""isn't"", ""isn't, currently."", ""isn't""]"
41,22,41_stress_stressed_mental_causes,"['stress', 'stressed', 'mental', 'causes', 'alive', 'coping', 'manageable', 'cope', 'edge', 'stressing']","['stress', 'stress', 'stress']","['134', '1320', '2617', '2678', '2836', '3042', '3709', '3734', '5478', '6091', '6136', '6223', '6299', '6653', '8040', '8130', '9042', '9105', '11040', '14445', '14850', '10221']","['mental stress', 'stress keeps doing best.', 'stress', 'mental stress causes distraction', 'instability able afford healthy alive just constant stress.']"
