Topic,Count,Name,Representation,Representative_Docs
-1,1054,-1_to_and_the_for,"['to', 'and', 'the', 'for', 'in', 'students', 'housing', 'have', 'of', 'food']","[""Right now I am not impacted. I can pay our mortgage, but I worry about losing my job in a recession.  I also realize funds are limited for home repairs, etc. Also, I am concerned about the issues that particularly SFCC students and adjunct faculty are facing. It's obvious the reason that some of our students have left the college is because they had to leave Santa Fe and cannot afford to live here. They often move to Albuquerque or further away. Sometimes they can handle the commute, but it interferes with their ability to even have a part-time job. As gas prices rise, they will not want to commute great distances to finish their degrees. "", 'In our department we have food for the students to eat. Our college has put in a food pantry, and we have a meal program that people can donate money for meals for students that have food insecurity to be able to eat and it is anonymous. ', "" Offer regular food service with discounted (affordable)and/or free meals. Loss of cental food services have left many feeling isolated and students leave campus as soon a class is over, since there is no longer a place to visit with friends and eat on a regular basis.  State would need to address these solutions: full coverage of tuition, fees and books to free up funding for living expenses. Housing needs to be addressed by the city and state. While dorms are not usually considered for community colleges, I think if SFCC could offer limited dormitories for students who are required to spend large amounts of time in person on campus such as nursing students. I also think it would be worth exploring if the nearby IAIA campus has any empty dorm rooms that could be made available to SFCC students, but we'd need to find funds to help students with those expenses. It would also be helpful if we had more emergency funds available to students who need to move, etc. We do offer some limited funds via the SFCC Foundation, but I don't think they are authorized to give the amounts that would be needed to pay first and last month's deposit before someone is evicted. Also, if the state could assist with offering covered or more affordable health insurance for employees it would free up money for food and housing expenses. In general, rental options are very expensive and limited. Santa Fe seniors are on the waiting list for housing assistance for years. Young people do not have access to any inexpensive housing options. Santa Fe is slowly becoming a community where the poor and middle class have no where to live. ""]"
0,390,0_no_its_yes_sã,"['no', 'its', 'yes', 'sã', 'lo', 'not', '', '', '', '']","['no', 'No', 'no']"
1,246,1_pay_inflation_increase_wages,"['pay', 'inflation', 'increase', 'wages', 'raise', 'living', 'employees', 'salaries', 'salary', 'higher']","['Increase pay ', 'Increase pay', 'raise salaries to meet inflation and pay a living wage']"
2,108,2_pantry_food_campus_the,"['pantry', 'food', 'campus', 'the', 'students', 'they', 'we', 'or', 'that', 'to']","['Have a food pantry on campus', ""Food desert studies\nFood trucks\nAgriculture projects\nBy in security It's short lived it was because of a natural disaster and unaccounted for event. But the things I hear from my students give me nightmares AB one student on the Hopi reservation in 2021 who called me to tell me what the variety of fresh vegetables they had they went into a gas station which is the closest place to buy food by hours to where this person lives And they took a picture of what they showed me was really disgusting looking bell peppers and onions some garlic and some potatoes. That's all they had on the shelf. And I mean it wasn't even as much as what I would put in my refrigerator for my family of 4 for 2 or 3 days and that was all they had access to after traveling for hours. I'll never get over the things I heard during a pandemic from my students I'll never forget them telling me on Easten that they didn't have baby formula or diapers had to drive hours and hours it's kind of sneakout and go camp near grocery stores so that they could hit up all the grocery stores they could to get as much of the stuff that they could to bring it back to the reservation. I'll never forget when my student who had 4 kids of their own and the their sister commit suicide and so she's not getting all of her kids so instantly she has 7 kids and it's the pandemic and she couldn't get formula I mean 3 of the 7 kids were under 2. I only want to be concerned with this teaching people I don't have to be thinking about if they have diapers and far below food for their kids. That's why during 2020 I grew a lot of vegetables between the rows of my hip and I don't need those vegetables to local shelters homeless shelters and I trucked some out to the nation. The conditions of boys benefit or miss from a students there's food deserts there's inequity in food lake at a level that is unpalatable For any caring human being. That's why I think we should have food trucks and it should be fresh fruits and fresh vegetables and we should have agricultural projects where we teach people to grow fruits of vegetables. And to help farmers distribute their product and to have more diversity in what they have and give them places for their produce to be sold directly. "", 'Have a campus food pantry']"
3,102,3_campus_on_options_healthy,"['campus', 'on', 'options', 'healthy', 'food', 'snacks', 'machines', 'affordable', 'vending', 'foods']","['On campus options for food.', 'have food options on campus', 'more food on campus and options']"
4,89,4_hungry_eat_tired_concentrate,"['hungry', 'eat', 'tired', 'concentrate', 'focus', 'sometimes', 'skip', 'work', 'stomach', 'when']","['Hungry, tired', 'I get hungry...tired', 'Too hungry and tired to focus sometimes']"
5,87,5_pantry_food_continue_often,"['pantry', 'food', 'continue', 'often', 'the', 'more', 'accessible', 'early', 'open', 'expand']","['more food at the food pantry ', 'A food pantry ', 'Food pantry']"
6,76,6_students_resources_information_more,"['students', 'resources', 'information', 'more', 'them', 'available', 'help', 'academic', 'reach', 'support']","['I feel they do enough for students. It is up the students to reach out to resources. ', 'There are resources on main campus, but limited services on satellite campuses- this should be addressed- mainly by gathering the information in one place and updating the information on a semi-annual basis- I have created a list for my students, and am adding to it as I go along, but some of it may be outdated as I cannot verify it all regularly.', 'have more resources for students ']"
7,58,7_work_focus_bills_sometimes,"['work', 'focus', 'bills', 'sometimes', 'about', 'hard', 'my', 'stress', 'anxiety', 'worrying']","['It can be hard to focus when you are stressed about bills.', 'Sometimes I cannot focus on work because I am working about how to pay bills and get food.', 'I am not able to put forth my best self and my best work when I am hungry and stressing about how to pay the bills.  We are judged on how we ""show up"" and it\'s hard when your clothes are old, you need a haircut, you can\'t contribute to an office gift or potluck, can\'t afford the healthcare that you need, etc. I know that I could be doing more in my work if I wasn\'t carrying the weight of this stress with me all the time and I had the money that I need to take care of myself. ']"
8,58,8_none_12_121_moment,"['none', '12', '121', 'moment', 'any', 'no', 'more', 'at', 'think', 'all']","['none', 'None ', 'None ']"
9,53,9_doesn_does_it_not,"['doesn', 'does', 'it', 'not', 'moment', 'doesâ', 'alot', 'younger', 'now', 'luckily']","[""it doesn't"", ""It doesn't."", ""It doesn't""]"
10,53,10_survey_thank_this_you,"['survey', 'thank', 'this', 'you', 'hope', 'conducting', 'research', 'for', 'answers', 'data']","['Thank you for the survey. ', 'No, thank you for this survey!', 'Thank you for this survey. ']"
11,52,11_no_yes__,"['no', 'yes', '', '', '', '', '', '', '', '']","['NO.', 'No. ', 'No.']"
12,51,12_na_virtually_ninguna_ni,"['na', 'virtually', 'ninguna', 'ni', 'nada', 'jonen', 'afectan', 'work', 'no', '']","['Na', 'na', 'na']"
13,50,13_affect_work_my_affecting,"['affect', 'work', 'my', 'affecting', 'doesn', 'does', 'it', 'not', 'let', 'believe']","['It does not affect my work.  ', 'It does not affect my work', 'It does not affect my work.']"
14,48,14_worry_about_bills_my,"['worry', 'about', 'bills', 'my', 'enough', 'job', 'will', 'able', 'make', 'just']","['In one of the text boxes I explained this but I want to share it here so it is obvious. I\'m temporary part-time faculty but I\'m working OVER ""full-time"". I work more than a full-time employee (depending on the semester). This semester I\'m 108% employed. Despite this insane amount of work, I make very little, worry about saving for retirement, don\'t have any job security, don\'t have reliable benefits, and feel my only option to make this work is to live with my parents and eat their food.', ""It isn't right now. But I worry that it could in the future, even though I make what I consider to be a generous salary. I make enough to support myself just fine, but as my parents age, I really worry about the additional financial burden of having to support them. "", 'I worry about my next meal or if I will have enough money to pay my rent and additional bills as well as gas.']"
15,45,15_housing_campus_faculty_student,"['housing', 'campus', 'faculty', 'student', 'in', 'employee', 'provide', 'for', 'university', 'drive']","['There is a serious housing shortage in town. The university has dorms for students and does make dorm rooms available to faculty and staff, but having a housing specialist to help people locate available housing and/or having university housing available for faculty/staff to buy or rent would make it possible for more people to work at the university. People routinely turn down job opportunities because they cannot find nearby housing.', 'On campus housing?', 'On campus housing']"
16,43,16_students_worry_affects_impacts,"['students', 'worry', 'affects', 'impacts', 'my', 'personally', 'it', 'class', 'greatly', 'directly']","[""It doesn't affect me directly, but it affects my work because I work with students."", ""It doesn't affect me, but I worry about my students."", 'I worry for my students. It does not affect me personally.']"
17,42,17_is_it_not_thankfully,"['is', 'it', 'not', 'thankfully', 'ok', 'fortunately', 'am', '', '', '']","['It is not. ', 'it is not.', 'It is not. ']"
18,40,18_housing_rent_in_here,"['housing', 'rent', 'in', 'here', 'find', 'afford', 'want', 'market', 'move', 'navajo']","[""There is a large and well-supported literature empirically linking land use restrictions (zoning, height and density limits, architectural/style limitations, etc.) to more limited housing supply. The University could play a valuable role in disseminating this information. (For reference, please see Harvard's Edward Glaeser or GMU's Alain Bertaud)."", ""Rent for housing in Gallup is high; home prices are also expensive. I don't know if I would qualify for a mortgage out here even though I've previously owned 2 other homes. But if I did, the money we saved between the rent and the mortgage would go to student loans. I couldn't even use that $ to offset the costs of inflation/COLA."", ""I am currently living in senior housing, but now that I'm working full time I will have to find new housing. Rents are so high I have been searching for a house, but can't find anything in my approval range that doesn't require major repairs I can't afford. I'm very worried about finding affordable housing when I have to leave here. Anxiety/depression when condos I thought I might be able to afford fell through because of huge repair costs. I normally do not have anxiety/depression.""]"
19,39,19_is_it_not_,"['is', 'it', 'not', '', '', '', '', '', '', '']","['it is not', 'it is not ', 'It is not']"
