Topic,Count,Name,Representation,Representative_Docs,IDs
42,23,42_tuition_loan_debt_federal,"['tuition', 'loan', 'debt', 'federal', 'sports', 'texas', 'loans', 'totally', 'student', 'workshops']","['state provide totally free ondemandonline option earning college degree khan academy example provides subjectmatter lessons totally free available demand far better conveying useful information inclass courses available practically public universities', 'great student loan debt federal private loans manageable cap rates debt federal private', 'having student bad old days issues food did qualify assistance undergraduate texas great program students supplied loans did pay tuition paid end semester jobs work pay graduated debt jobs city bigger federal loans way especially graduate students make ends meet grad students texas health insurance eased burden course state approved thing']","['45', '6355', '3', '150', '252', '404', '942', '2156', '3037', '5280', '8899', '9067', '10253', '10258', '10708', '11822', '13056', '13408', '5280', '6104', '7660', '9121', '10057']"
43,23,43_pantry_stocked_students_cook,"['pantry', 'stocked', 'students', 'cook', 'seen', 'believe', 'accessible', 'teach', 'grand', 'publicity']","['today grand opening daccâ€™s comfort casita food pantry hope help students food insecurities', 'provide better stocked pantry make accessible students', 'good food pantry students staff secretive processes transparent distribution help alleviate stigma going students donate food pantry quite seen seen accessing']","['286', '945', '1030', '2758', '3924', '5828', '6917', '7940', '7944', '8180', '9197', '10065', '10231', '10356', '10715', '10977', '11888', '12397', '13962', '2443', '5968', '8278', '11130']"
44,23,44_isnt_currently__,"['isnt', 'currently', '', '', '', '', '', '', '', '']","['isnt', 'isnt', 'isnt']","['989', '2592', '2665', '2822', '3163', '3327', '3532', '6313', '6342', '6743', '7770', '8022', '8345', '8913', '8937', '8951', '8962', '9657', '9703', '11578', '11879', '13418', '13975']"
45,23,45_vouchers_cards_gift_grocery,"['vouchers', 'cards', 'gift', 'grocery', 'stores', 'farmers', 'card', 'case', 'market', 'pantries']","['food pantries vouchers', 'food vouchers utilities vouchers', 'provide vouchers need']","['285', '363', '2545', '2608', '3310', '3500', '4093', '4116', '6044', '7649', '7709', '9025', '9085', '9112', '10392', '10566', '10742', '12468', '13232', '13332', '14896', '5719', '10216']"
46,22,46_rent_home_property_apartment,"['rent', 'home', 'property', 'apartment', 'worried', 'contracts', 'worry', 'going', 'im', 'constant']","['currently living senior housing im working time new housing rents high searching house approval range doesnt require major repairs afford im worried finding affordable housing leave anxietydepression condos thought able afford fell huge repair costs normally anxietydepression', 'thing giving tpts multiyear contracts yearround benefits happens feel able lease apartment albuquerque think single university significantly improve cofactors obvious change increase pay want clear just increasing pay does solve myriad difficulties working tpt choose small increase pay multiyear contracts yearround benefits id choose contracts pay', 'consistently worried priced apartment home erb taxes buy home livable acutally wiring roof caving apt building falling owner makes changes does updates raises rent fridge consistently stops cooling lose food oven jumps degree randomly ruinburn food worries makes hard plan prep save new open listings apartments double pay afford better safer want neighborhoods unsafe car breaks walk work']","['367', '522', '2550', '2639', '2966', '3161', '3164', '5834', '5914', '6511', '7012', '7532', '7645', '7809', '9157', '10043', '12980', '14219', '184', '6006', '2615', '14510']"
47,21,47_transportation_bus_buses_shuttle,"['transportation', 'bus', 'buses', 'shuttle', 'route', 'public', 'establish', 'city', 'paso', 'rides']","['appreciate survey exists think public transportation piece really important excited blue bus havent heard updates happening great unmtaos shuttle goes town great advertising unmtaos maybe increase enrollment', 'city albuquerque decreased bus services discontinued route place walking distance home ride later bus walk dark home lease times week commuter routes feel safer lomas route example scary rides people outbursts threatening bus driver passengers city bus focused downtown workers regular work hours unm workers later earlier working hours consistent car share spouse afford disabled son transportation pay expensive unm parking park lot week expensive parking just week', 'faculty staff college pay people establish reliable timeline scale salary increases avoid frequent wage freezes high employee attrition rate college expand access food pantry include fruitveggies establish partnerships subsidized housing units provide students cheapnice places live college establish bus fleet buses hire bus drivers shuttle students shiprock cuba dz dulce aztec durango kirtland bloomfield farmington public transportation corners area limited students constantly facing barriers related having ride campus think increase enrollment buses drivers used field trips visits transfer universities increase transfer rate']","['13000', '13405', '1237', '3410', '7956', '7998', '9133', '9142', '10088', '10271', '11008', '11547', '13000', '15038', '543', '707', '1109', '3410', '9038', '10182', '14444']"
48,21,48_free_breakfast_meals_lunch,"['free', 'breakfast', 'meals', 'lunch', 'dinner', 'faculty', 'students', 'cost', 'nutritious', 'hotprepared']","['provide free food students', 'provide free faculty breakfast lunch dinner free faculty housing solve worries faculty', 'provide free meals students']","['13885', '813', '1194', '3444', '3808', '5814', '6415', '7213', '7447', '7540', '7613', '7671', '9333', '9467', '9776', '10749', '11578', '13303', '13843', '13885', '10707']"
49,20,49_fresh_options_hispanic_onhand,"['fresh', 'options', 'hispanic', 'onhand', 'goodinexpensive', 'tasty', 'mac', 'mush', 'accesible', 'pasole']","['affordable fresh fruits better health insurance getting medical care expensive', 'expand food bank include healthy options fresh food packaged ramen mac n cheese', 'consider accesible native hispanic foods pasole blue corn mush']","['318', '7223', '8186', '8918', '2516', '2665', '3342', '5204', '6107', '6261', '6681', '7927', '10316', '10408', '11057', '12965', '13281', '13974', '15010', '8043']"
50,20,50_moment_sorry_phase_oct,"['moment', 'sorry', 'phase', 'oct', 'impacting', 'isnt', 'facing', 'unsure', 'doesnt', 'things']","['moment', 'moment', 'moment']","['4442', '6682', '7816', '7881', '7892', '9133', '9280', '9522', '13067', '14125', '14604', '513', '10135', '13988', '12', '10762', '12298', '13830', '14046', '14544']"
51,20,51_know_dont_don_,"['know', 'dont', 'don', '', '', '', '', '', '', '']","['dont know', 'dont know', 'dont know']","['4050', '1222', '2226', '2593', '2785', '3270', '3936', '5643', '6241', '6250', '6281', '8155', '8953', '9017', '10230', '12105', '12705', '13763', '14034', '14715']"
