Topic,Count,Name,Representation,Representative_Docs
-1,7,-1_que_de_los_por,"['que', 'de', 'los', 'por', 'un', 'la', 'en', 'con', 'mi', 'para']","['De manera que afecta mi salud fisica y mental El compartir subsidios economicos ayuda un poco. CNM tiene un banco de alimentos pero pienso que es muy individual no ayuda a una familia', 'etoy agradecida de tener un empleo. aumento de salario Gracias por preocuparse por el bienestar de su comunidad entiendo que tal vez hay personas en peor situacion que yo.', 'Mi trabajo no esta afectado, pero me afecta la inseguridad de mi comunidad; especialmente a los que sirvo todos los dias. Buscar tener los fondos necesarios para abordar estas necesidades. Me gustaria que los bancos y las agencias que ofrecen alimentos no preguntaran por documentos que las personas no tienen para poder ser elegibles para la comida.']"
0,524,0_to_and_the_for,"['to', 'and', 'the', 'for', 'food', 'of', 'not', 'it', 'is', 'in']","['I feel secure; my disabled adult son lives with a family member and he and I feel insecure about his current and long term living situation, esp. when I retire and am on a fixed income. I will need to continue working as long as possible to help support my son. I see my students struggle with food and housing insecurity. UNM should have more frequent and more locations for food pantry. Our dept. is organizing a food pantry with in our dept. for our undergrads and grads. It will be supplied by faculty. The city of Albuquerque has decreased bus services; they discontinued a route that would place me within walking distance of my home. I now must ride later bus and walk in the dark home at lease 1-2 times a week. The commuter routes feel safer than the Lomas route (example) I have had two scary rides with people who had outbursts and were threatening to the bus driver and other passengers. the city bus is much more focused on down-town workers with regular work hours and not UNM workers who have later and earlier working hours that are not consistent. I  have only one car and share with my spouse so that I can afford for my disabled son to have transportation; I pay for the least expensive UNM parking, but park in the lot only about once a week. It is expensive parking for just once a week.\nUNMH does not have a program or set protocol for adult individuals that have traumatic brain injury. It is very difficult to get services and their is not a set protocol as there is in other states. This is a shame as the incidence of TBI is high and it is so very difficult to get SSDI for this condition. As the flagship University and hub for medical care in NM this it is a shame that we do not have a set protocol for caring with individuals who sustain TBI.', 'Not having healthy food on campus is inconvenient and there are not healthy fast food options near the campus. I often do not have time between classes to eat, so I go long stretches without anything or with snack from the vending machines. Students who are stuck on campus have no other option either.  Support a food vendor with consistent hours of operation and in a way that food prices are relatively inexpensive and with at least some healthy options. I do not think a college can be everything, but there is a lot of support for students. Faculty and staff are struggling to make ends meet because we never truly get a raise. Anytime we get a little more, it gets taken away by an increase in the cost of a ""benefit"" and the net affect is that we make less and less. The demands of work are more and more outside the classroom, as we are asked to do more and more in addition to just teaching our classes. This means that we have less time to focus on preparing classes and are working harder for even less. ', 'I know that I do not have a lot of extra money to spend on food, so I try to buy just what I need and have foods that go a long way and do not cost as much. This does not effect my work very much, but I do have an extra job in addition to my full time job which I use for groceries throughout the week to lessen my stress over affording food. I have less free time and sometimes go to bed much later than I would want because I get stuck at my other job. Healthier options would be amazing. Having it also be affordable, because healthier food options always seem to be much more expensive. If UNM worked with the state to see if more of their students could easily qualify for food stamps because school takes time away from work (and classes are often during peak work days and hours). Or even make the SNAP benefits at the state level easier for all college students. I tried for a couple of years to get food stamps and never qualified, yet affording food for myself was so stressful. Being single makes it much harder to qualify than it would be for a single parent or family, yet that population sometimes needs help, too. In our country a college education is such a privilege because there are so many obstacles.  I have a good support system and am lucky enough to receive Medicaid, but if I did not have those I cannot imagine where I would be. Many people attending universities have a lot less. UNM has some programs to help their students, but they are still very expensive which is by far the biggest obstacle for students. I attended college there in my mid 20s so I had no scholarship even though I was a great student with great grades. I now have student loans I will be paying off for the next few decades. Making college classes less expensive, having cheaper parking passes, and better scholarships would go a long way to making housing and food more secure. SO much money went into my education and even more with interest will, too. Books, supplies, transportation, less working hours, and time away from home all cost money, too.']"
1,93,1_no_not_na_it,"['no', 'not', 'na', 'it', 'none', 'know', 'sure', 'nothing', 'applicable', 'at']","['no not sure no', 'No Not sure. No.', ""It's not. I'm not sure. no.""]"
2,22,2_affecting_work_my_it,"['affecting', 'work', 'my', 'it', 'no', 'not', 'is', 'know', 'don', 'this']","['It is not affecting my work. Nothing for me.\n No.', ""It is not affecting my work I don't know Not at this time"", ""It's not affecting my work. I don't know. No.""]"
3,12,3_no_me_thank_you,"['no', 'me', 'thank', 'you', 'for', 'to', '', '', '', '']","['No  No No', 'no no no', 'no no no']"
